구간,hour,2025.10.31,2025.10.30,2025.10.29,2025.10.28,2025.10.27,2025.10.26,2025.10.25,2025.10.24,2025.10.23,2025.10.22,2025.10.21,2025.10.20,2025.10.19,2025.10.18,2025.10.17,2025.10.16,2025.10.15,2025.10.14,2025.10.13,2025.10.12,2025.10.11,2025.10.10,2025.10.09,2025.10.08,2025.10.07,2025.10.06,2025.10.05,2025.10.04,2025.10.03,2025.10.02,2025.10.01
안성IC→북천안IC,00시,100.15 km/h,99.71 km/h,99.48 km/h,99.86 km/h,91.09 km/h,107.51 km/h,103.69 km/h,100.46 km/h,99.72 km/h,100.89 km/h,100.38 km/h,104.93 km/h,107.40 km/h,75.11 km/h,98.79 km/h,70.64 km/h,99.02 km/h,81.59 km/h,105.45 km/h,81.40 km/h,89.12 km/h,102.22 km/h,102.71 km/h,96.64 km/h,68.82 km/h,103.04 km/h,102.22 km/h,101.38 km/h,101.22 km/h,100.60 km/h,100.15 km/h
안성IC→북천안IC,01시,98.40 km/h,97.57 km/h,97.28 km/h,96.78 km/h,91.35 km/h,105.00 km/h,101.59 km/h,98.55 km/h,97.15 km/h,97.88 km/h,97.63 km/h,100.16 km/h,105.18 km/h,72.19 km/h,96.36 km/h,70.65 km/h,97.92 km/h,81.45 km/h,101.37 km/h,83.48 km/h,86.12 km/h,99.84 km/h,102.22 km/h,93.29 km/h,72.44 km/h,104.20 km/h,104.92 km/h,104.28 km/h,95.65 km/h,97.03 km/h,97.24 km/h
안성IC→북천안IC,02시,96.54 km/h,96.64 km/h,95.36 km/h,96.77 km/h,89.75 km/h,103.52 km/h,100.86 km/h,96.56 km/h,97.48 km/h,95.87 km/h,95.12 km/h,100.49 km/h,103.51 km/h,75.32 km/h,95.88 km/h,67.81 km/h,97.86 km/h,77.51 km/h,94.48 km/h,84.12 km/h,81.80 km/h,97.69 km/h,102.23 km/h,79.58 km/h,62.04 km/h,107.10 km/h,106.19 km/h,104.86 km/h,101.67 km/h,97.07 km/h,96.28 km/h
안성IC→북천안IC,03시,97.33 km/h,96.39 km/h,96.36 km/h,96.52 km/h,95.24 km/h,103.28 km/h,101.19 km/h,97.24 km/h,95.78 km/h,96.17 km/h,97.52 km/h,101.31 km/h,104.54 km/h,72.31 km/h,96.45 km/h,65.98 km/h,96.93 km/h,76.00 km/h,98.13 km/h,88.09 km/h,82.66 km/h,99.66 km/h,99.96 km/h,75.03 km/h,63.67 km/h,104.77 km/h,105.63 km/h,104.83 km/h,101.53 km/h,95.22 km/h,96.74 km/h
안성IC→북천안IC,04시,98.77 km/h,98.38 km/h,99.35 km/h,98.30 km/h,103.04 km/h,106.29 km/h,102.23 km/h,100.02 km/h,99.12 km/h,98.12 km/h,99.42 km/h,105.00 km/h,105.36 km/h,72.08 km/h,98.02 km/h,73.17 km/h,98.81 km/h,83.13 km/h,85.84 km/h,90.28 km/h,88.97 km/h,103.73 km/h,103.28 km/h,85.81 km/h,73.20 km/h,101.15 km/h,95.01 km/h,100.99 km/h,87.97 km/h,99.56 km/h,98.61 km/h
안성IC→북천안IC,05시,101.77 km/h,100.54 km/h,101.27 km/h,100.70 km/h,98.73 km/h,107.70 km/h,102.31 km/h,101.36 km/h,100.88 km/h,100.90 km/h,101.35 km/h,99.30 km/h,106.58 km/h,75.38 km/h,100.67 km/h,84.55 km/h,100.94 km/h,88.25 km/h,72.15 km/h,90.78 km/h,99.55 km/h,103.03 km/h,104.36 km/h,90.77 km/h,83.28 km/h,77.89 km/h,63.63 km/h,86.09 km/h,74.65 km/h,99.82 km/h,99.99 km/h
안성IC→북천안IC,06시,98.18 km/h,97.53 km/h,98.35 km/h,95.79 km/h,94.07 km/h,107.52 km/h,93.47 km/h,97.78 km/h,97.98 km/h,97.41 km/h,97.83 km/h,88.83 km/h,107.13 km/h,76.88 km/h,98.51 km/h,91.12 km/h,98.26 km/h,92.68 km/h,75.98 km/h,101.27 km/h,101.42 km/h,100.52 km/h,105.36 km/h,101.05 km/h,83.53 km/h,72.21 km/h,67.42 km/h,62.82 km/h,59.40 km/h,97.47 km/h,97.48 km/h
안성IC→북천안IC,07시,99.04 km/h,99.38 km/h,101.56 km/h,99.11 km/h,98.66 km/h,103.61 km/h,80.82 km/h,99.27 km/h,100.73 km/h,97.82 km/h,97.77 km/h,99.62 km/h,103.49 km/h,80.53 km/h,99.74 km/h,97.42 km/h,97.17 km/h,95.10 km/h,83.12 km/h,104.74 km/h,100.07 km/h,99.66 km/h,100.97 km/h,99.37 km/h,76.59 km/h,87.89 km/h,94.25 km/h,69.84 km/h,56.79 km/h,97.61 km/h,98.16 km/h
안성IC→북천안IC,08시,99.30 km/h,99.10 km/h,97.90 km/h,98.25 km/h,97.43 km/h,101.31 km/h,94.11 km/h,96.07 km/h,93.18 km/h,91.67 km/h,94.59 km/h,94.30 km/h,102.75 km/h,83.09 km/h,96.67 km/h,94.13 km/h,97.12 km/h,89.46 km/h,77.36 km/h,103.96 km/h,99.18 km/h,98.39 km/h,100.86 km/h,93.89 km/h,83.39 km/h,94.75 km/h,93.57 km/h,98.49 km/h,87.95 km/h,98.06 km/h,99.20 km/h
안성IC→북천안IC,09시,96.26 km/h,95.25 km/h,94.32 km/h,96.45 km/h,94.90 km/h,97.70 km/h,94.26 km/h,92.45 km/h,68.23 km/h,89.95 km/h,92.22 km/h,92.06 km/h,97.10 km/h,90.04 km/h,87.41 km/h,93.13 km/h,91.47 km/h,92.50 km/h,76.69 km/h,103.34 km/h,95.41 km/h,96.68 km/h,97.95 km/h,89.23 km/h,96.37 km/h,87.94 km/h,64.57 km/h,89.81 km/h,71.42 km/h,96.69 km/h,93.20 km/h
