구간,시간,2025.08.31,2025.08.30,2025.08.29,2025.08.28,2025.08.27,2025.08.26,2025.08.25,2025.08.24,2025.08.23,2025.08.22,2025.08.21,2025.08.20,2025.08.19,2025.08.18,2025.08.17,2025.08.16,2025.08.15,2025.08.14,2025.08.13,2025.08.12,2025.08.11,2025.08.10,2025.08.09,2025.08.08,2025.08.07,2025.08.06,2025.08.05,2025.08.04,2025.08.03,2025.08.02,2025.08.01
안성IC→북천안IC,00시,91.11 km/h,95.41 km/h,89.80 km/h,86.90 km/h,88.43 km/h,74.60 km/h,97.47 km/h,100.60 km/h,98.31 km/h,96.03 km/h,94.90 km/h,95.29 km/h,94.30 km/h,99.28 km/h,99.40 km/h,99.61 km/h,99.45 km/h,76.75 km/h,86.64 km/h,90.35 km/h,94.83 km/h,95.69 km/h,94.37 km/h,93.47 km/h,92.42 km/h,79.92 km/h,78.49 km/h,67.13 km/h,95.62 km/h,94.88 km/h,93.89 km/h
안성IC→북천안IC,01시,85.46 km/h,88.43 km/h,86.49 km/h,80.85 km/h,86.01 km/h,60.38 km/h,92.56 km/h,97.62 km/h,96.89 km/h,93.24 km/h,92.45 km/h,92.12 km/h,91.57 km/h,96.27 km/h,97.06 km/h,95.39 km/h,96.38 km/h,63.74 km/h,62.21 km/h,88.85 km/h,92.91 km/h,94.49 km/h,92.24 km/h,90.57 km/h,91.34 km/h,82.41 km/h,76.14 km/h,67.90 km/h,93.76 km/h,92.18 km/h,91.03 km/h
안성IC→북천안IC,02시,77.16 km/h,86.33 km/h,82.81 km/h,77.92 km/h,76.18 km/h,66.65 km/h,93.04 km/h,95.33 km/h,93.13 km/h,90.97 km/h,89.01 km/h,91.60 km/h,90.76 km/h,93.30 km/h,98.13 km/h,95.00 km/h,95.51 km/h,61.79 km/h,59.63 km/h,87.56 km/h,90.48 km/h,93.90 km/h,89.97 km/h,89.02 km/h,89.39 km/h,77.05 km/h,77.73 km/h,70.91 km/h,90.84 km/h,90.86 km/h,90.18 km/h
안성IC→북천안IC,03시,67.96 km/h,88.66 km/h,82.70 km/h,77.68 km/h,79.11 km/h,64.30 km/h,95.74 km/h,93.69 km/h,94.49 km/h,91.94 km/h,92.34 km/h,90.01 km/h,91.80 km/h,94.83 km/h,97.84 km/h,93.82 km/h,96.30 km/h,70.87 km/h,64.95 km/h,88.46 km/h,91.46 km/h,89.68 km/h,91.33 km/h,90.59 km/h,89.05 km/h,81.33 km/h,77.76 km/h,80.35 km/h,92.90 km/h,91.61 km/h,91.01 km/h
안성IC→북천안IC,04시,75.33 km/h,84.21 km/h,86.80 km/h,85.76 km/h,81.06 km/h,67.61 km/h,99.13 km/h,99.07 km/h,96.65 km/h,92.84 km/h,94.30 km/h,94.79 km/h,95.35 km/h,99.56 km/h,94.93 km/h,96.97 km/h,97.67 km/h,79.88 km/h,76.64 km/h,92.23 km/h,95.02 km/h,94.85 km/h,91.25 km/h,92.62 km/h,92.08 km/h,86.77 km/h,80.96 km/h,84.08 km/h,93.03 km/h,94.61 km/h,92.45 km/h
안성IC→북천안IC,05시,87.89 km/h,95.21 km/h,95.83 km/h,95.49 km/h,94.27 km/h,78.52 km/h,97.77 km/h,101.80 km/h,100.01 km/h,96.82 km/h,97.23 km/h,96.91 km/h,96.99 km/h,96.72 km/h,101.65 km/h,99.85 km/h,96.65 km/h,85.65 km/h,84.71 km/h,95.53 km/h,95.25 km/h,101.63 km/h,97.28 km/h,97.81 km/h,94.98 km/h,95.39 km/h,97.14 km/h,93.76 km/h,101.89 km/h,98.83 km/h,97.74 km/h
안성IC→북천안IC,06시,107.48 km/h,102.81 km/h,100.93 km/h,99.09 km/h,97.51 km/h,86.17 km/h,102.40 km/h,106.69 km/h,102.12 km/h,100.10 km/h,100.09 km/h,98.59 km/h,99.96 km/h,98.38 km/h,106.25 km/h,102.75 km/h,89.29 km/h,94.43 km/h,94.31 km/h,96.25 km/h,94.89 km/h,106.94 km/h,98.71 km/h,97.95 km/h,96.19 km/h,99.15 km/h,98.26 km/h,95.50 km/h,105.02 km/h,97.83 km/h,97.68 km/h
안성IC→북천안IC,07시,105.44 km/h,94.06 km/h,98.71 km/h,98.73 km/h,96.48 km/h,92.43 km/h,101.93 km/h,105.40 km/h,93.78 km/h,97.97 km/h,97.76 km/h,97.63 km/h,98.61 km/h,100.91 km/h,104.76 km/h,98.87 km/h,85.65 km/h,92.94 km/h,94.00 km/h,94.78 km/h,95.52 km/h,103.43 km/h,92.10 km/h,94.98 km/h,95.73 km/h,95.82 km/h,96.33 km/h,94.00 km/h,101.84 km/h,91.66 km/h,94.25 km/h
안성IC→북천안IC,08시,103.37 km/h,92.43 km/h,95.52 km/h,97.74 km/h,96.04 km/h,90.33 km/h,99.81 km/h,104.24 km/h,91.77 km/h,94.85 km/h,96.89 km/h,95.99 km/h,96.45 km/h,96.98 km/h,102.75 km/h,96.94 km/h,72.00 km/h,93.20 km/h,90.62 km/h,91.54 km/h,93.39 km/h,101.96 km/h,89.33 km/h,93.51 km/h,94.67 km/h,94.69 km/h,93.64 km/h,91.53 km/h,100.01 km/h,92.88 km/h,91.89 km/h
안성IC→북천안IC,09시,100.12 km/h,91.18 km/h,92.35 km/h,92.78 km/h,94.08 km/h,88.06 km/h,97.01 km/h,100.98 km/h,88.57 km/h,88.08 km/h,91.63 km/h,92.72 km/h,93.22 km/h,95.69 km/h,100.73 km/h,94.21 km/h,74.42 km/h,86.75 km/h,86.70 km/h,90.07 km/h,88.95 km/h,99.33 km/h,85.92 km/h,91.76 km/h,91.88 km/h,92.28 km/h,90.91 km/h,89.29 km/h,96.87 km/h,90.98 km/h,85.29 km/h
