section,date,day,hour,speed
0,2025-08-01,4,0,93.89
0,2025-08-01,4,1,91.03
0,2025-08-01,4,2,90.18
0,2025-08-01,4,3,91.01
0,2025-08-01,4,4,92.45
0,2025-08-01,4,5,97.74
0,2025-08-01,4,6,97.68
0,2025-08-01,4,7,94.25
0,2025-08-01,4,8,91.89
0,2025-08-01,4,9,85.29
0,2025-08-01,4,10,86.27
0,2025-08-01,4,11,87.14
0,2025-08-01,4,12,90.39
0,2025-08-01,4,13,87.0
0,2025-08-01,4,14,84.89
0,2025-08-01,4,15,91.18
0,2025-08-01,4,16,95.11
0,2025-08-01,4,17,96.77
0,2025-08-01,4,18,96.33
0,2025-08-01,4,19,95.18
0,2025-08-01,4,20,90.68
0,2025-08-01,4,21,95.39
0,2025-08-01,4,22,92.81
0,2025-08-01,4,23,96.54
0,2025-08-02,5,0,94.88
0,2025-08-02,5,1,92.18
0,2025-08-02,5,2,90.86
0,2025-08-02,5,3,91.61
0,2025-08-02,5,4,94.61
0,2025-08-02,5,5,98.83
0,2025-08-02,5,6,97.83
0,2025-08-02,5,7,91.66
0,2025-08-02,5,8,92.88
0,2025-08-02,5,9,90.98
0,2025-08-02,5,10,93.52
0,2025-08-02,5,11,88.93
0,2025-08-02,5,12,94.36
0,2025-08-02,5,13,95.12
0,2025-08-02,5,14,91.97
0,2025-08-02,5,15,90.48
0,2025-08-02,5,16,92.59
0,2025-08-02,5,17,96.62
0,2025-08-02,5,18,98.88
0,2025-08-02,5,19,98.88
0,2025-08-02,5,20,93.73
0,2025-08-02,5,21,97.49
0,2025-08-02,5,22,98.2
0,2025-08-02,5,23,99.08
0,2025-08-03,6,0,95.62
0,2025-08-03,6,1,93.76
0,2025-08-03,6,2,90.84
0,2025-08-03,6,3,92.9
0,2025-08-03,6,4,93.03
0,2025-08-03,6,5,101.89
0,2025-08-03,6,6,105.02
0,2025-08-03,6,7,101.84
0,2025-08-03,6,8,100.01
0,2025-08-03,6,9,96.87
0,2025-08-03,6,10,97.11
0,2025-08-03,6,11,95.96
0,2025-08-03,6,12,96.08
0,2025-08-03,6,13,94.58
0,2025-08-03,6,14,91.11
0,2025-08-03,6,15,88.97
0,2025-08-03,6,16,89.25
0,2025-08-03,6,17,87.48
0,2025-08-03,6,18,77.19
0,2025-08-03,6,19,75.44
0,2025-08-03,6,20,82.61
0,2025-08-03,6,21,82.01
0,2025-08-03,6,22,84.75
0,2025-08-03,6,23,70.89
0,2025-08-04,0,0,67.13
0,2025-08-04,0,1,67.9
0,2025-08-04,0,2,70.91
0,2025-08-04,0,3,80.35
0,2025-08-04,0,4,84.08
0,2025-08-04,0,5,93.76
0,2025-08-04,0,6,95.5
0,2025-08-04,0,7,94.0
0,2025-08-04,0,8,91.53
0,2025-08-04,0,9,89.29
0,2025-08-04,0,10,87.63
0,2025-08-04,0,11,90.34
0,2025-08-04,0,12,90.96
0,2025-08-04,0,13,93.68
0,2025-08-04,0,14,94.5
0,2025-08-04,0,15,94.45
0,2025-08-04,0,16,94.13
0,2025-08-04,0,17,96.62
0,2025-08-04,0,18,99.18
0,2025-08-04,0,19,97.71
0,2025-08-04,0,20,94.36
0,2025-08-04,0,21,85.78
0,2025-08-04,0,22,75.56
0,2025-08-04,0,23,78.43
0,2025-08-05,1,0,78.49
0,2025-08-05,1,1,76.14
0,2025-08-05,1,2,77.73
0,2025-08-05,1,3,77.76
0,2025-08-05,1,4,80.96
0,2025-08-05,1,5,97.14
0,2025-08-05,1,6,98.26
0,2025-08-05,1,7,96.33
0,2025-08-05,1,8,93.64
0,2025-08-05,1,9,90.91
0,2025-08-05,1,10,88.14
0,2025-08-05,1,11,91.14
0,2025-08-05,1,12,93.3
0,2025-08-05,1,13,93.1
0,2025-08-05,1,14,91.7
0,2025-08-05,1,15,92.82
0,2025-08-05,1,16,93.04
0,2025-08-05,1,17,95.83
0,2025-08-05,1,18,98.28
0,2025-08-05,1,19,97.73
0,2025-08-05,1,20,94.21
0,2025-08-05,1,21,88.73
0,2025-08-05,1,22,86.84
0,2025-08-05,1,23,87.63
0,2025-08-06,2,0,79.92
0,2025-08-06,2,1,82.41
0,2025-08-06,2,2,77.05
0,2025-08-06,2,3,81.33
0,2025-08-06,2,4,86.77
0,2025-08-06,2,5,95.39
0,2025-08-06,2,6,99.15
0,2025-08-06,2,7,95.82
0,2025-08-06,2,8,94.69
0,2025-08-06,2,9,92.28
0,2025-08-06,2,10,90.43
0,2025-08-06,2,11,94.07
0,2025-08-06,2,12,93.78
0,2025-08-06,2,13,94.17
0,2025-08-06,2,14,89.67
0,2025-08-06,2,15,87.59
0,2025-08-06,2,16,87.68
0,2025-08-06,2,17,88.4
0,2025-08-06,2,18,96.26
0,2025-08-06,2,19,95.3
0,2025-08-06,2,20,85.07
0,2025-08-06,2,21,94.48
0,2025-08-06,2,22,96.1
0,2025-08-06,2,23,96.28
0,2025-08-07,3,0,92.42
0,2025-08-07,3,1,91.34
0,2025-08-07,3,2,89.39
0,2025-08-07,3,3,89.05
0,2025-08-07,3,4,92.08
0,2025-08-07,3,5,94.98
0,2025-08-07,3,6,96.19
0,2025-08-07,3,7,95.73
0,2025-08-07,3,8,94.67
0,2025-08-07,3,9,91.88
0,2025-08-07,3,10,90.07
0,2025-08-07,3,11,89.4
0,2025-08-07,3,12,85.68
0,2025-08-07,3,13,83.47
0,2025-08-07,3,14,84.03
0,2025-08-07,3,15,84.0
0,2025-08-07,3,16,88.34
0,2025-08-07,3,17,93.84
0,2025-08-07,3,18,99.17
0,2025-08-07,3,19,97.42
0,2025-08-07,3,20,94.03
0,2025-08-07,3,21,96.6
0,2025-08-07,3,22,96.69
0,2025-08-07,3,23,96.81
0,2025-08-08,4,0,93.47
0,2025-08-08,4,1,90.57
0,2025-08-08,4,2,89.02
0,2025-08-08,4,3,90.59
0,2025-08-08,4,4,92.62
0,2025-08-08,4,5,97.81
0,2025-08-08,4,6,97.95
0,2025-08-08,4,7,94.98
0,2025-08-08,4,8,93.51
0,2025-08-08,4,9,91.76
0,2025-08-08,4,10,91.45
0,2025-08-08,4,11,91.2
0,2025-08-08,4,12,90.68
0,2025-08-08,4,13,91.44
0,2025-08-08,4,14,92.71
0,2025-08-08,4,15,92.45
0,2025-08-08,4,16,90.33
0,2025-08-08,4,17,95.26
0,2025-08-08,4,18,95.66
0,2025-08-08,4,19,93.98
0,2025-08-08,4,20,92.62
0,2025-08-08,4,21,94.18
0,2025-08-08,4,22,96.24
0,2025-08-08,4,23,96.3
0,2025-08-09,5,0,94.37
0,2025-08-09,5,1,92.24
0,2025-08-09,5,2,89.97
0,2025-08-09,5,3,91.33
0,2025-08-09,5,4,91.25
0,2025-08-09,5,5,97.28
0,2025-08-09,5,6,98.71
0,2025-08-09,5,7,92.1
0,2025-08-09,5,8,89.33
0,2025-08-09,5,9,85.92
0,2025-08-09,5,10,86.56
0,2025-08-09,5,11,95.75
0,2025-08-09,5,12,93.0
0,2025-08-09,5,13,92.77
0,2025-08-09,5,14,89.47
0,2025-08-09,5,15,88.4
0,2025-08-09,5,16,92.86
0,2025-08-09,5,17,96.17
0,2025-08-09,5,18,98.13
0,2025-08-09,5,19,96.47
0,2025-08-09,5,20,94.58
0,2025-08-09,5,21,97.58
0,2025-08-09,5,22,98.18
0,2025-08-09,5,23,98.6
0,2025-08-10,6,0,95.69
0,2025-08-10,6,1,94.49
0,2025-08-10,6,2,93.9
0,2025-08-10,6,3,89.68
0,2025-08-10,6,4,94.85
0,2025-08-10,6,5,101.63
0,2025-08-10,6,6,106.94
0,2025-08-10,6,7,103.43
0,2025-08-10,6,8,101.96
0,2025-08-10,6,9,99.33
0,2025-08-10,6,10,97.55
0,2025-08-10,6,11,97.03
0,2025-08-10,6,12,98.48
0,2025-08-10,6,13,97.92
0,2025-08-10,6,14,95.21
0,2025-08-10,6,15,92.82
0,2025-08-10,6,16,92.89
0,2025-08-10,6,17,94.33
0,2025-08-10,6,18,97.16
0,2025-08-10,6,19,94.84
0,2025-08-10,6,20,91.42
0,2025-08-10,6,21,95.13
0,2025-08-10,6,22,97.16
0,2025-08-10,6,23,98.67
0,2025-08-11,0,0,94.83
0,2025-08-11,0,1,92.91
0,2025-08-11,0,2,90.48
0,2025-08-11,0,3,91.46
0,2025-08-11,0,4,95.02
0,2025-08-11,0,5,95.25
0,2025-08-11,0,6,94.89
0,2025-08-11,0,7,95.52
0,2025-08-11,0,8,93.39
0,2025-08-11,0,9,88.95
0,2025-08-11,0,10,79.55
0,2025-08-11,0,11,82.09
0,2025-08-11,0,12,85.56
0,2025-08-11,0,13,87.09
0,2025-08-11,0,14,88.83
0,2025-08-11,0,15,86.85
0,2025-08-11,0,16,90.28
0,2025-08-11,0,17,91.59
0,2025-08-11,0,18,97.18
0,2025-08-11,0,19,97.46
0,2025-08-11,0,20,93.22
0,2025-08-11,0,21,95.63
0,2025-08-11,0,22,95.97
0,2025-08-11,0,23,95.44
0,2025-08-12,1,0,90.35
0,2025-08-12,1,1,88.85
0,2025-08-12,1,2,87.56
0,2025-08-12,1,3,88.46
0,2025-08-12,1,4,92.23
0,2025-08-12,1,5,95.53
0,2025-08-12,1,6,96.25
0,2025-08-12,1,7,94.78
0,2025-08-12,1,8,91.54
0,2025-08-12,1,9,90.07
0,2025-08-12,1,10,89.14
0,2025-08-12,1,11,88.58
0,2025-08-12,1,12,93.2
0,2025-08-12,1,13,90.5
0,2025-08-12,1,14,88.58
0,2025-08-12,1,15,90.65
0,2025-08-12,1,16,92.42
0,2025-08-12,1,17,94.36
0,2025-08-12,1,18,96.83
0,2025-08-12,1,19,95.12
0,2025-08-12,1,20,92.69
0,2025-08-12,1,21,94.16
0,2025-08-12,1,22,95.87
0,2025-08-12,1,23,95.74
0,2025-08-13,2,0,86.64
0,2025-08-13,2,1,62.21
0,2025-08-13,2,2,59.63
0,2025-08-13,2,3,64.95
0,2025-08-13,2,4,76.64
0,2025-08-13,2,5,84.71
0,2025-08-13,2,6,94.31
0,2025-08-13,2,7,94.0
0,2025-08-13,2,8,90.62
0,2025-08-13,2,9,86.7
0,2025-08-13,2,10,89.05
0,2025-08-13,2,11,91.14
0,2025-08-13,2,12,94.86
0,2025-08-13,2,13,93.81
0,2025-08-13,2,14,95.31
0,2025-08-13,2,15,95.72
0,2025-08-13,2,16,95.75
0,2025-08-13,2,17,98.31
0,2025-08-13,2,18,100.51
0,2025-08-13,2,19,89.76
0,2025-08-13,2,20,72.5
0,2025-08-13,2,21,80.65
0,2025-08-13,2,22,78.32
0,2025-08-13,2,23,85.49
0,2025-08-14,3,0,76.75
0,2025-08-14,3,1,63.74
0,2025-08-14,3,2,61.79
0,2025-08-14,3,3,70.87
0,2025-08-14,3,4,79.88
0,2025-08-14,3,5,85.65
0,2025-08-14,3,6,94.43
