구간,시간,2025.10.31,2025.10.30,2025.10.29,2025.10.28,2025.10.27,2025.10.26,2025.10.25,2025.10.24,2025.10.23,2025.10.22,2025.10.21,2025.10.20,2025.10.19,2025.10.18,2025.10.17,2025.10.16,2025.10.15,2025.10.14,2025.10.13,2025.10.12,2025.10.11,2025.10.10,2025.10.09,2025.10.08,2025.10.07,2025.10.06,2025.10.05,2025.10.04,2025.10.03,2025.10.02,2025.10.01
남사진위IC→안성JC,00시,94.05 km/h,94.45 km/h,95.95 km/h,94.02 km/h,97.34 km/h,100.82 km/h,94.15 km/h,94.83 km/h,94.24 km/h,96.04 km/h,94.97 km/h,97.15 km/h,100.06 km/h,90.57 km/h,96.02 km/h,88.01 km/h,94.20 km/h,92.84 km/h,97.70 km/h,94.62 km/h,92.85 km/h,97.60 km/h,99.17 km/h,100.05 km/h,94.57 km/h,103.12 km/h,97.77 km/h,97.32 km/h,99.06 km/h,98.35 km/h,97.03 km/h
남사진위IC→안성JC,01시,92.31 km/h,91.79 km/h,92.28 km/h,91.14 km/h,95.77 km/h,100.08 km/h,96.52 km/h,92.68 km/h,91.63 km/h,93.52 km/h,91.96 km/h,95.54 km/h,99.72 km/h,88.90 km/h,94.45 km/h,87.79 km/h,92.82 km/h,91.51 km/h,96.11 km/h,97.96 km/h,92.61 km/h,96.56 km/h,98.51 km/h,98.23 km/h,93.58 km/h,103.21 km/h,102.61 km/h,97.82 km/h,96.83 km/h,96.25 km/h,94.58 km/h
남사진위IC→안성JC,02시,91.41 km/h,91.30 km/h,90.30 km/h,92.02 km/h,93.66 km/h,99.27 km/h,0.00 km/h,93.21 km/h,91.39 km/h,91.04 km/h,91.99 km/h,94.24 km/h,98.07 km/h,89.07 km/h,91.37 km/h,86.59 km/h,91.43 km/h,90.46 km/h,93.12 km/h,97.93 km/h,93.00 km/h,95.89 km/h,98.36 km/h,99.75 km/h,94.30 km/h,103.70 km/h,101.09 km/h,100.53 km/h,96.97 km/h,94.92 km/h,93.51 km/h
남사진위IC→안성JC,03시,92.74 km/h,91.84 km/h,92.27 km/h,91.20 km/h,94.83 km/h,99.86 km/h,94.64 km/h,93.25 km/h,91.17 km/h,92.10 km/h,92.22 km/h,95.61 km/h,99.09 km/h,88.78 km/h,93.21 km/h,88.04 km/h,92.52 km/h,91.16 km/h,95.51 km/h,98.33 km/h,93.29 km/h,96.67 km/h,97.44 km/h,99.28 km/h,97.27 km/h,102.87 km/h,102.20 km/h,100.02 km/h,97.56 km/h,95.28 km/h,94.16 km/h
남사진위IC→안성JC,04시,94.10 km/h,93.83 km/h,93.34 km/h,92.62 km/h,96.32 km/h,100.41 km/h,95.90 km/h,94.14 km/h,93.96 km/h,93.27 km/h,94.46 km/h,98.07 km/h,100.76 km/h,91.76 km/h,94.40 km/h,91.54 km/h,93.79 km/h,94.11 km/h,92.23 km/h,99.17 km/h,96.14 km/h,98.77 km/h,99.68 km/h,100.11 km/h,96.88 km/h,99.78 km/h,95.14 km/h,97.32 km/h,93.64 km/h,96.89 km/h,95.31 km/h
남사진위IC→안성JC,05시,92.48 km/h,91.73 km/h,92.04 km/h,90.59 km/h,86.24 km/h,99.40 km/h,0.00 km/h,91.25 km/h,91.18 km/h,92.18 km/h,91.21 km/h,85.23 km/h,99.00 km/h,87.70 km/h,92.47 km/h,90.54 km/h,92.24 km/h,91.61 km/h,79.32 km/h,100.33 km/h,95.54 km/h,96.41 km/h,99.61 km/h,100.67 km/h,94.64 km/h,94.48 km/h,77.38 km/h,73.43 km/h,65.79 km/h,94.41 km/h,93.83 km/h
남사진위IC→안성JC,06시,82.06 km/h,81.30 km/h,82.53 km/h,84.29 km/h,69.68 km/h,98.22 km/h,0.00 km/h,84.61 km/h,81.74 km/h,81.83 km/h,80.81 km/h,71.47 km/h,97.29 km/h,88.12 km/h,79.19 km/h,80.02 km/h,83.19 km/h,80.92 km/h,63.83 km/h,98.98 km/h,93.28 km/h,90.12 km/h,98.75 km/h,100.95 km/h,87.56 km/h,64.08 km/h,83.28 km/h,72.68 km/h,61.24 km/h,87.65 km/h,79.09 km/h
남사진위IC→안성JC,07시,73.63 km/h,69.25 km/h,82.37 km/h,69.51 km/h,56.77 km/h,96.90 km/h,91.71 km/h,74.29 km/h,61.71 km/h,67.71 km/h,59.83 km/h,53.91 km/h,95.96 km/h,82.88 km/h,57.30 km/h,53.31 km/h,58.88 km/h,53.49 km/h,55.71 km/h,98.00 km/h,92.00 km/h,89.32 km/h,99.04 km/h,97.18 km/h,69.69 km/h,45.60 km/h,80.73 km/h,39.80 km/h,53.55 km/h,76.23 km/h,47.09 km/h
남사진위IC→안성JC,08시,76.39 km/h,76.86 km/h,79.45 km/h,82.96 km/h,80.25 km/h,95.08 km/h,68.67 km/h,75.08 km/h,78.27 km/h,78.55 km/h,78.73 km/h,75.93 km/h,96.20 km/h,79.27 km/h,57.96 km/h,60.46 km/h,65.49 km/h,75.55 km/h,57.29 km/h,98.91 km/h,89.47 km/h,90.11 km/h,98.13 km/h,90.08 km/h,78.62 km/h,54.64 km/h,88.27 km/h,49.76 km/h,58.84 km/h,81.62 km/h,50.28 km/h
남사진위IC→안성JC,09시,79.47 km/h,79.19 km/h,80.55 km/h,85.88 km/h,81.26 km/h,90.46 km/h,0.00 km/h,80.35 km/h,77.57 km/h,90.87 km/h,80.72 km/h,79.88 km/h,90.08 km/h,79.21 km/h,52.57 km/h,67.40 km/h,74.15 km/h,78.99 km/h,60.44 km/h,96.61 km/h,90.56 km/h,82.69 km/h,90.26 km/h,68.65 km/h,75.94 km/h,55.61 km/h,76.44 km/h,44.27 km/h,61.43 km/h,88.64 km/h,66.94 km/h
