구간,시간,2025.09.30,2025.09.29,2025.09.28,2025.09.27,2025.09.26,2025.09.25,2025.09.24,2025.09.23,2025.09.22,2025.09.21,2025.09.20,2025.09.19,2025.09.18,2025.09.17,2025.09.16,2025.09.15,2025.09.14,2025.09.13,2025.09.12,2025.09.11,2025.09.10,2025.09.09,2025.09.08,2025.09.07,2025.09.06,2025.09.05,2025.09.04,2025.09.03,2025.09.02,2025.09.01
남사진위IC→안성JC,00시,96.94 km/h,97.90 km/h,98.87 km/h,91.72 km/h,90.43 km/h,87.73 km/h,93.11 km/h,91.42 km/h,97.81 km/h,100.15 km/h,82.85 km/h,94.62 km/h,91.50 km/h,93.23 km/h,93.89 km/h,97.51 km/h,100.64 km/h,88.60 km/h,94.57 km/h,94.75 km/h,93.86 km/h,94.40 km/h,97.75 km/h,99.26 km/h,96.05 km/h,94.63 km/h,93.50 km/h,93.92 km/h,93.87 km/h,98.08 km/h
남사진위IC→안성JC,01시,93.36 km/h,93.93 km/h,92.39 km/h,91.61 km/h,88.39 km/h,83.66 km/h,89.54 km/h,89.46 km/h,94.83 km/h,98.61 km/h,83.08 km/h,92.46 km/h,90.23 km/h,91.78 km/h,92.68 km/h,95.67 km/h,99.69 km/h,87.61 km/h,92.39 km/h,91.95 km/h,92.40 km/h,88.47 km/h,94.78 km/h,99.09 km/h,95.67 km/h,92.82 km/h,91.42 km/h,91.87 km/h,91.05 km/h,95.27 km/h
남사진위IC→안성JC,02시,91.74 km/h,93.79 km/h,86.01 km/h,90.94 km/h,89.41 km/h,87.44 km/h,87.83 km/h,89.38 km/h,94.21 km/h,100.15 km/h,81.47 km/h,91.75 km/h,90.03 km/h,89.83 km/h,92.14 km/h,93.94 km/h,99.00 km/h,88.02 km/h,92.13 km/h,91.63 km/h,92.14 km/h,90.97 km/h,95.58 km/h,98.68 km/h,95.41 km/h,92.64 km/h,91.14 km/h,91.55 km/h,91.45 km/h,93.95 km/h
남사진위IC→안성JC,03시,93.06 km/h,95.35 km/h,89.61 km/h,89.54 km/h,88.28 km/h,87.50 km/h,88.81 km/h,89.70 km/h,96.08 km/h,99.41 km/h,81.95 km/h,93.85 km/h,92.32 km/h,92.04 km/h,91.00 km/h,95.97 km/h,100.63 km/h,87.72 km/h,92.55 km/h,92.72 km/h,92.51 km/h,91.51 km/h,94.68 km/h,99.30 km/h,95.24 km/h,93.60 km/h,91.06 km/h,92.87 km/h,92.45 km/h,95.49 km/h
남사진위IC→안성JC,04시,95.49 km/h,97.09 km/h,95.99 km/h,86.20 km/h,91.57 km/h,87.36 km/h,91.15 km/h,92.16 km/h,97.30 km/h,99.82 km/h,80.45 km/h,93.39 km/h,93.73 km/h,91.02 km/h,94.19 km/h,96.92 km/h,98.93 km/h,79.45 km/h,94.64 km/h,93.81 km/h,93.75 km/h,91.09 km/h,97.39 km/h,99.55 km/h,93.24 km/h,95.03 km/h,94.07 km/h,93.30 km/h,93.79 km/h,98.31 km/h
남사진위IC→안성JC,05시,94.53 km/h,85.92 km/h,93.52 km/h,76.29 km/h,87.47 km/h,86.74 km/h,89.99 km/h,90.43 km/h,89.78 km/h,96.46 km/h,76.88 km/h,90.70 km/h,90.81 km/h,89.96 km/h,92.69 km/h,87.93 km/h,98.30 km/h,83.18 km/h,92.57 km/h,93.63 km/h,92.77 km/h,87.81 km/h,87.75 km/h,99.32 km/h,87.10 km/h,93.44 km/h,92.66 km/h,92.02 km/h,92.90 km/h,93.62 km/h
남사진위IC→안성JC,06시,74.82 km/h,65.66 km/h,85.22 km/h,71.68 km/h,73.61 km/h,80.63 km/h,87.66 km/h,86.34 km/h,81.40 km/h,96.75 km/h,73.47 km/h,85.90 km/h,83.00 km/h,85.06 km/h,87.52 km/h,79.13 km/h,99.14 km/h,84.41 km/h,86.77 km/h,85.68 km/h,86.79 km/h,84.99 km/h,70.13 km/h,99.14 km/h,84.75 km/h,88.58 km/h,86.80 km/h,86.47 km/h,87.27 km/h,78.79 km/h
남사진위IC→안성JC,07시,52.49 km/h,62.57 km/h,67.84 km/h,75.36 km/h,60.90 km/h,70.51 km/h,73.17 km/h,76.73 km/h,69.29 km/h,95.52 km/h,71.41 km/h,76.72 km/h,75.14 km/h,72.15 km/h,68.59 km/h,78.15 km/h,95.29 km/h,75.26 km/h,60.69 km/h,58.69 km/h,65.56 km/h,74.04 km/h,54.86 km/h,97.87 km/h,73.96 km/h,63.68 km/h,50.55 km/h,63.64 km/h,74.54 km/h,53.81 km/h
남사진위IC→안성JC,08시,50.24 km/h,65.67 km/h,79.66 km/h,76.58 km/h,60.47 km/h,71.96 km/h,80.28 km/h,79.27 km/h,81.45 km/h,95.36 km/h,72.82 km/h,79.85 km/h,84.77 km/h,75.54 km/h,79.90 km/h,80.90 km/h,92.43 km/h,75.66 km/h,74.80 km/h,65.72 km/h,78.97 km/h,83.03 km/h,80.42 km/h,94.97 km/h,69.08 km/h,65.88 km/h,59.36 km/h,54.44 km/h,40.56 km/h,70.00 km/h
남사진위IC→안성JC,09시,49.97 km/h,66.34 km/h,81.23 km/h,79.55 km/h,64.97 km/h,76.00 km/h,81.23 km/h,78.86 km/h,81.62 km/h,95.00 km/h,77.26 km/h,81.19 km/h,81.96 km/h,78.18 km/h,80.31 km/h,84.19 km/h,90.86 km/h,80.31 km/h,79.35 km/h,79.67 km/h,80.37 km/h,0.00 km/h,55.58 km/h,95.34 km/h,72.61 km/h,70.89 km/h,63.45 km/h,80.68 km/h,72.25 km/h,83.90 km/h
남사진위IC→안성JC,10시,55.99 km/h,62.93 km/h,62.47 km/h,78.65 km/h,55.34 km/h,74.19 km/h,81.24 km/h,74.99 km/h,75.95 km/h,86.84 km/h,77.12 km/h,77.54 km/h,79.08 km/h,74.75 km/h,81.94 km/h,80.83 km/h,91.33 km/h,80.20 km/h,75.47 km/h,79.33 km/h,79.37 km/h,75.89 km/h,71.04 km/h,95.17 km/h,71.73 km/h,67.99 km/h,62.58 km/h,71.46 km/h,84.00 km/h,84.88 km/h
남사진위IC→안성JC,11시,72.00 km/h,65.05 km/h,57.96 km/h,79.41 km/h,58.56 km/h,75.39 km/h,81.20 km/h,71.16 km/h,41.14 km/h,92.30 km/h,82.01 km/h,76.93 km/h,82.87 km/h,73.51 km/h,79.70 km/h,83.93 km/h,92.83 km/h,80.08 km/h,72.81 km/h,77.48 km/h,82.19 km/h,73.29 km/h,62.16 km/h,98.21 km/h,73.43 km/h,66.54 km/h,63.68 km/h,73.64 km/h,86.75 km/h,86.11 km/h
남사진위IC→안성JC,12시,73.43 km/h,63.89 km/h,91.15 km/h,79.79 km/h,78.39 km/h,75.66 km/h,84.89 km/h,77.42 km/h,68.58 km/h,94.37 km/h,83.20 km/h,79.02 km/h,80.06 km/h,78.82 km/h,87.33 km/h,85.88 km/h,96.53 km/h,80.34 km/h,72.80 km/h,78.37 km/h,83.79 km/h,88.26 km/h,83.02 km/h,95.70 km/h,71.76 km/h,69.43 km/h,79.79 km/h,83.21 km/h,49.12 km/h,87.58 km/h
남사진위IC→안성JC,13시,79.19 km/h,53.97 km/h,88.15 km/h,83.02 km/h,81.12 km/h,85.12 km/h,86.03 km/h,82.98 km/h,86.16 km/h,93.23 km/h,83.71 km/h,79.12 km/h,84.90 km/h,86.69 km/h,88.39 km/h,85.06 km/h,95.34 km/h,79.34 km/h,74.86 km/h,85.88 km/h,89.44 km/h,87.86 km/h,84.04 km/h,92.88 km/h,84.26 km/h,75.72 km/h,80.15 km/h,87.05 km/h,90.90 km/h,89.52 km/h
남사진위IC→안성JC,14시,86.94 km/h,30.17 km/h,79.47 km/h,85.64 km/h,81.86 km/h,80.14 km/h,75.05 km/h,84.35 km/h,80.32 km/h,85.09 km/h,92.17 km/h,78.01 km/h,85.90 km/h,84.56 km/h,80.70 km/h,86.03 km/h,91.77 km/h,87.47 km/h,76.94 km/h,81.02 km/h,86.83 km/h,91.36 km/h,93.40 km/h,85.69 km/h,74.93 km/h,85.58 km/h,75.65 km/h,86.29 km/h,87.07 km/h,79.12 km/h
남사진위IC→안성JC,15시,88.43 km/h,76.10 km/h,87.98 km/h,83.04 km/h,79.49 km/h,85.02 km/h,69.93 km/h,86.81 km/h,84.59 km/h,90.21 km/h,84.72 km/h,76.72 km/h,85.27 km/h,82.68 km/h,77.83 km/h,90.89 km/h,87.30 km/h,86.51 km/h,75.70 km/h,84.97 km/h,87.02 km/h,90.24 km/h,85.72 km/h,85.51 km/h,69.63 km/h,77.93 km/h,86.75 km/h,86.93 km/h,84.80 km/h,75.99 km/h
남사진위IC→안성JC,16시,84.38 km/h,86.03 km/h,81.68 km/h,87.54 km/h,79.35 km/h,86.57 km/h,62.66 km/h,87.69 km/h,88.56 km/h,91.07 km/h,92.14 km/h,75.27 km/h,87.86 km/h,86.92 km/h,88.30 km/h,80.95 km/h,90.25 km/h,87.46 km/h,73.50 km/h,88.02 km/h,87.92 km/h,86.65 km/h,89.27 km/h,84.13 km/h,86.02 km/h,73.41 km/h,88.47 km/h,85.45 km/h,82.93 km/h,83.97 km/h
남사진위IC→안성JC,17시,78.47 km/h,81.18 km/h,85.54 km/h,87.80 km/h,81.62 km/h,79.64 km/h,69.21 km/h,90.54 km/h,87.04 km/h,91.82 km/h,90.76 km/h,72.58 km/h,88.48 km/h,88.58 km/h,90.13 km/h,71.68 km/h,89.72 km/h,92.07 km/h,72.77 km/h,89.00 km/h,87.64 km/h,85.61 km/h,93.34 km/h,77.72 km/h,77.86 km/h,84.13 km/h,88.18 km/h,88.93 km/h,82.24 km/h,83.70 km/h
남사진위IC→안성JC,18시,92.05 km/h,89.70 km/h,77.92 km/h,87.76 km/h,75.95 km/h,89.22 km/h,78.44 km/h,89.52 km/h,89.34 km/h,89.56 km/h,92.56 km/h,70.99 km/h,90.16 km/h,89.42 km/h,92.07 km/h,91.81 km/h,91.88 km/h,94.45 km/h,71.19 km/h,91.39 km/h,91.20 km/h,96.81 km/h,93.52 km/h,94.01 km/h,69.93 km/h,71.71 km/h,93.94 km/h,93.80 km/h,94.15 km/h,85.93 km/h
남사진위IC→안성JC,19시,92.93 km/h,94.76 km/h,79.19 km/h,84.50 km/h,81.03 km/h,88.95 km/h,78.67 km/h,90.09 km/h,90.35 km/h,86.09 km/h,88.41 km/h,75.97 km/h,90.59 km/h,90.91 km/h,90.38 km/h,92.32 km/h,82.55 km/h,90.58 km/h,76.43 km/h,91.22 km/h,93.33 km/h,89.10 km/h,95.48 km/h,84.02 km/h,82.73 km/h,86.81 km/h,93.07 km/h,93.12 km/h,91.84 km/h,71.15 km/h
남사진위IC→안성JC,20시,93.65 km/h,93.44 km/h,85.82 km/h,88.37 km/h,81.52 km/h,89.53 km/h,80.41 km/h,89.82 km/h,89.67 km/h,84.54 km/h,90.86 km/h,76.74 km/h,91.92 km/h,93.10 km/h,84.82 km/h,92.23 km/h,86.66 km/h,93.04 km/h,79.79 km/h,91.70 km/h,92.03 km/h,96.79 km/h,88.57 km/h,76.56 km/h,84.13 km/h,86.73 km/h,92.70 km/h,92.62 km/h,91.94 km/h,85.36 km/h
남사진위IC→안성JC,21시,96.71 km/h,96.39 km/h,93.93 km/h,93.44 km/h,87.04 km/h,94.24 km/h,84.64 km/h,91.85 km/h,92.84 km/h,92.07 km/h,93.95 km/h,82.30 km/h,93.86 km/h,93.00 km/h,91.12 km/h,94.39 km/h,93.07 km/h,96.12 km/h,87.42 km/h,95.07 km/h,94.58 km/h,97.23 km/h,0.00 km/h,90.65 km/h,87.41 km/h,93.11 km/h,96.31 km/h,95.94 km/h,94.62 km/h,93.09 km/h
남사진위IC→안성JC,22시,96.95 km/h,97.18 km/h,96.15 km/h,95.98 km/h,90.01 km/h,93.83 km/h,86.69 km/h,93.23 km/h,93.69 km/h,94.36 km/h,96.19 km/h,80.43 km/h,95.18 km/h,95.67 km/h,92.70 km/h,95.41 km/h,95.34 km/h,97.47 km/h,83.27 km/h,95.54 km/h,95.09 km/h,98.98 km/h,96.74 km/h,91.61 km/h,94.68 km/h,96.18 km/h,97.14 km/h,96.98 km/h,95.86 km/h,95.08 km/h
남사진위IC→안성JC,23시,97.63 km/h,97.14 km/h,97.96 km/h,98.46 km/h,92.90 km/h,91.77 km/h,89.27 km/h,92.86 km/h,93.50 km/h,97.58 km/h,98.32 km/h,88.94 km/h,95.74 km/h,97.32 km/h,94.45 km/h,94.93 km/h,97.24 km/h,98.88 km/h,87.00 km/h,96.68 km/h,96.64 km/h,96.00 km/h,95.28 km/h,97.83 km/h,97.87 km/h,97.59 km/h,97.74 km/h,96.85 km/h,96.51 km/h,95.50 km/h
