구간,시간,2025.08.31,2025.08.30,2025.08.29,2025.08.28,2025.08.27,2025.08.26,2025.08.25,2025.08.24,2025.08.23,2025.08.22,2025.08.21,2025.08.20,2025.08.19,2025.08.18,2025.08.17,2025.08.16,2025.08.15,2025.08.14,2025.08.13,2025.08.12,2025.08.11,2025.08.10,2025.08.09,2025.08.08,2025.08.07,2025.08.06,2025.08.05,2025.08.04,2025.08.03,2025.08.02,2025.08.01
북천안IC→안성IC,00시,111.97 km/h,108.68 km/h,105.87 km/h,105.96 km/h,104.27 km/h,87.39 km/h,109.49 km/h,111.57 km/h,109.47 km/h,106.76 km/h,104.78 km/h,105.19 km/h,104.66 km/h,110.91 km/h,112.45 km/h,109.39 km/h,109.39 km/h,73.33 km/h,99.59 km/h,104.80 km/h,109.61 km/h,111.48 km/h,108.51 km/h,106.80 km/h,104.89 km/h,95.02 km/h,105.47 km/h,68.22 km/h,112.01 km/h,109.00 km/h,106.70 km/h
북천안IC→안성IC,01시,110.10 km/h,107.14 km/h,103.73 km/h,101.41 km/h,102.14 km/h,70.76 km/h,105.52 km/h,110.00 km/h,106.70 km/h,102.01 km/h,102.03 km/h,102.51 km/h,104.68 km/h,107.64 km/h,111.80 km/h,108.59 km/h,107.41 km/h,66.91 km/h,70.12 km/h,102.53 km/h,107.30 km/h,108.31 km/h,106.42 km/h,102.13 km/h,101.79 km/h,84.05 km/h,103.92 km/h,73.09 km/h,109.43 km/h,106.42 km/h,105.29 km/h
북천안IC→안성IC,02시,106.11 km/h,102.06 km/h,100.64 km/h,96.04 km/h,98.48 km/h,73.61 km/h,100.45 km/h,105.56 km/h,100.79 km/h,98.96 km/h,99.17 km/h,97.43 km/h,98.60 km/h,103.28 km/h,108.97 km/h,104.25 km/h,104.47 km/h,63.34 km/h,66.49 km/h,97.12 km/h,98.07 km/h,106.14 km/h,103.17 km/h,99.30 km/h,99.16 km/h,83.57 km/h,99.61 km/h,70.53 km/h,105.34 km/h,102.57 km/h,101.29 km/h
북천안IC→안성IC,03시,102.28 km/h,99.17 km/h,97.87 km/h,99.01 km/h,97.12 km/h,69.93 km/h,100.84 km/h,102.98 km/h,101.67 km/h,99.48 km/h,95.23 km/h,96.14 km/h,97.07 km/h,102.16 km/h,106.28 km/h,102.38 km/h,101.31 km/h,70.17 km/h,69.63 km/h,96.62 km/h,102.04 km/h,106.32 km/h,100.20 km/h,98.57 km/h,98.75 km/h,89.12 km/h,99.13 km/h,81.43 km/h,103.00 km/h,102.82 km/h,99.34 km/h
북천안IC→안성IC,04시,102.02 km/h,101.80 km/h,99.41 km/h,99.35 km/h,101.24 km/h,71.79 km/h,104.36 km/h,103.70 km/h,102.36 km/h,99.98 km/h,99.20 km/h,100.34 km/h,98.27 km/h,105.55 km/h,107.14 km/h,104.06 km/h,102.69 km/h,71.44 km/h,78.32 km/h,100.07 km/h,105.31 km/h,101.69 km/h,100.55 km/h,98.16 km/h,100.46 km/h,98.42 km/h,101.56 km/h,89.47 km/h,102.46 km/h,102.54 km/h,101.22 km/h
북천안IC→안성IC,05시,110.14 km/h,107.20 km/h,104.52 km/h,104.12 km/h,104.19 km/h,78.25 km/h,107.55 km/h,111.38 km/h,107.74 km/h,104.45 km/h,104.60 km/h,105.08 km/h,104.04 km/h,108.00 km/h,112.43 km/h,110.03 km/h,110.06 km/h,82.79 km/h,94.62 km/h,105.15 km/h,110.04 km/h,114.13 km/h,108.35 km/h,106.53 km/h,104.13 km/h,105.08 km/h,107.73 km/h,102.81 km/h,114.56 km/h,111.23 km/h,108.54 km/h
북천안IC→안성IC,06시,118.50 km/h,113.04 km/h,109.77 km/h,110.14 km/h,110.94 km/h,94.81 km/h,112.13 km/h,118.34 km/h,113.93 km/h,111.00 km/h,110.43 km/h,110.46 km/h,109.68 km/h,110.79 km/h,119.56 km/h,115.03 km/h,113.21 km/h,105.05 km/h,105.21 km/h,112.91 km/h,111.81 km/h,117.89 km/h,113.89 km/h,110.75 km/h,107.92 km/h,111.12 km/h,111.17 km/h,111.41 km/h,116.66 km/h,114.77 km/h,112.39 km/h
북천안IC→안성IC,07시,116.85 km/h,109.89 km/h,108.44 km/h,108.85 km/h,110.17 km/h,104.65 km/h,108.91 km/h,116.55 km/h,110.42 km/h,109.33 km/h,108.94 km/h,108.28 km/h,107.74 km/h,108.24 km/h,115.77 km/h,112.53 km/h,110.36 km/h,105.56 km/h,104.26 km/h,111.30 km/h,108.82 km/h,116.74 km/h,109.91 km/h,107.91 km/h,108.97 km/h,108.73 km/h,108.72 km/h,106.14 km/h,114.90 km/h,111.20 km/h,89.74 km/h
북천안IC→안성IC,08시,112.45 km/h,105.33 km/h,107.71 km/h,107.11 km/h,108.67 km/h,105.13 km/h,108.15 km/h,113.22 km/h,105.43 km/h,108.10 km/h,107.27 km/h,107.55 km/h,105.69 km/h,108.83 km/h,111.31 km/h,109.17 km/h,86.71 km/h,110.73 km/h,103.78 km/h,109.16 km/h,109.31 km/h,113.57 km/h,106.02 km/h,108.67 km/h,107.38 km/h,107.80 km/h,107.48 km/h,106.16 km/h,112.42 km/h,107.39 km/h,108.13 km/h
북천안IC→안성IC,09시,107.40 km/h,102.38 km/h,103.78 km/h,105.68 km/h,104.98 km/h,101.51 km/h,103.58 km/h,109.02 km/h,102.69 km/h,103.76 km/h,102.76 km/h,104.24 km/h,104.03 km/h,104.99 km/h,104.38 km/h,105.46 km/h,79.99 km/h,102.71 km/h,98.64 km/h,104.77 km/h,104.64 km/h,109.07 km/h,100.46 km/h,104.35 km/h,104.12 km/h,104.50 km/h,102.42 km/h,102.26 km/h,106.05 km/h,101.99 km/h,103.93 km/h
