구간,시간,2025.09.30,2025.09.29,2025.09.28,2025.09.27,2025.09.26,2025.09.25,2025.09.24,2025.09.23,2025.09.22,2025.09.21,2025.09.20,2025.09.19,2025.09.18,2025.09.17,2025.09.16,2025.09.15,2025.09.14,2025.09.13,2025.09.12,2025.09.11,2025.09.10,2025.09.09,2025.09.08,2025.09.07,2025.09.06,2025.09.05,2025.09.04,2025.09.03,2025.09.02,2025.09.01
북천안IC→안성IC,00시,103.63 km/h,105.83 km/h,110.34 km/h,106.60 km/h,103.42 km/h,83.14 km/h,103.27 km/h,102.84 km/h,107.19 km/h,109.19 km/h,75.90 km/h,104.57 km/h,97.66 km/h,89.68 km/h,102.66 km/h,106.48 km/h,108.85 km/h,74.09 km/h,103.65 km/h,102.53 km/h,103.36 km/h,99.96 km/h,105.94 km/h,93.22 km/h,106.83 km/h,104.25 km/h,103.62 km/h,105.01 km/h,88.73 km/h,108.05 km/h
북천안IC→안성IC,01시,99.84 km/h,104.36 km/h,83.43 km/h,103.71 km/h,102.99 km/h,78.34 km/h,101.80 km/h,98.14 km/h,104.44 km/h,108.15 km/h,70.56 km/h,101.68 km/h,98.96 km/h,90.00 km/h,99.70 km/h,104.86 km/h,106.75 km/h,73.76 km/h,100.20 km/h,100.25 km/h,99.67 km/h,99.79 km/h,102.60 km/h,94.10 km/h,105.10 km/h,100.54 km/h,100.59 km/h,100.09 km/h,88.65 km/h,105.78 km/h
북천안IC→안성IC,02시,99.14 km/h,100.40 km/h,75.51 km/h,102.45 km/h,101.67 km/h,75.87 km/h,98.34 km/h,96.64 km/h,102.03 km/h,105.75 km/h,63.40 km/h,97.71 km/h,93.89 km/h,87.15 km/h,95.57 km/h,100.97 km/h,102.70 km/h,70.22 km/h,97.54 km/h,96.25 km/h,96.82 km/h,96.29 km/h,99.38 km/h,92.78 km/h,99.71 km/h,97.70 km/h,95.12 km/h,96.91 km/h,87.20 km/h,102.78 km/h
북천안IC→안성IC,03시,97.58 km/h,101.99 km/h,75.92 km/h,89.53 km/h,99.05 km/h,71.40 km/h,96.74 km/h,97.56 km/h,101.17 km/h,103.84 km/h,65.65 km/h,98.48 km/h,93.45 km/h,79.02 km/h,94.88 km/h,100.39 km/h,103.08 km/h,75.41 km/h,97.49 km/h,95.60 km/h,94.02 km/h,97.55 km/h,99.20 km/h,93.67 km/h,98.73 km/h,97.44 km/h,86.48 km/h,95.92 km/h,92.48 km/h,100.52 km/h
북천안IC→안성IC,04시,98.21 km/h,104.10 km/h,81.50 km/h,91.24 km/h,99.53 km/h,76.42 km/h,99.31 km/h,98.87 km/h,103.59 km/h,104.41 km/h,66.88 km/h,97.05 km/h,96.42 km/h,83.29 km/h,98.01 km/h,102.84 km/h,102.35 km/h,73.42 km/h,98.19 km/h,97.02 km/h,96.13 km/h,97.70 km/h,101.93 km/h,97.07 km/h,101.71 km/h,99.10 km/h,97.76 km/h,100.17 km/h,96.04 km/h,105.06 km/h
북천안IC→안성IC,05시,102.01 km/h,105.08 km/h,85.95 km/h,100.99 km/h,102.26 km/h,77.52 km/h,102.55 km/h,102.72 km/h,105.80 km/h,107.02 km/h,70.73 km/h,102.85 km/h,101.79 km/h,80.05 km/h,101.66 km/h,104.57 km/h,106.51 km/h,80.30 km/h,101.85 km/h,102.31 km/h,102.01 km/h,99.62 km/h,105.25 km/h,101.80 km/h,104.45 km/h,102.60 km/h,100.81 km/h,104.71 km/h,101.14 km/h,108.45 km/h
북천안IC→안성IC,06시,106.00 km/h,106.08 km/h,95.15 km/h,108.97 km/h,105.92 km/h,96.29 km/h,107.20 km/h,105.54 km/h,106.28 km/h,114.60 km/h,82.46 km/h,106.18 km/h,106.06 km/h,94.17 km/h,106.64 km/h,107.96 km/h,110.55 km/h,101.97 km/h,105.65 km/h,107.08 km/h,107.90 km/h,102.57 km/h,108.48 km/h,111.96 km/h,109.71 km/h,107.05 km/h,105.35 km/h,111.89 km/h,109.96 km/h,110.26 km/h
북천안IC→안성IC,07시,105.65 km/h,106.48 km/h,96.93 km/h,105.49 km/h,105.79 km/h,103.88 km/h,106.77 km/h,106.04 km/h,105.86 km/h,111.25 km/h,98.52 km/h,105.00 km/h,105.59 km/h,104.02 km/h,106.48 km/h,108.06 km/h,112.55 km/h,102.67 km/h,104.84 km/h,103.76 km/h,106.58 km/h,104.30 km/h,106.40 km/h,111.10 km/h,103.40 km/h,103.85 km/h,103.62 km/h,110.02 km/h,108.24 km/h,108.67 km/h
북천안IC→안성IC,08시,105.55 km/h,105.95 km/h,93.45 km/h,102.12 km/h,105.98 km/h,104.35 km/h,105.48 km/h,105.27 km/h,105.63 km/h,107.88 km/h,98.60 km/h,104.15 km/h,104.97 km/h,104.63 km/h,104.87 km/h,106.78 km/h,110.14 km/h,82.97 km/h,104.34 km/h,103.36 km/h,105.74 km/h,105.62 km/h,106.58 km/h,108.74 km/h,101.95 km/h,102.63 km/h,101.84 km/h,108.74 km/h,108.49 km/h,109.99 km/h
북천안IC→안성IC,09시,103.29 km/h,101.78 km/h,89.92 km/h,96.85 km/h,103.34 km/h,104.50 km/h,103.07 km/h,100.96 km/h,102.35 km/h,101.68 km/h,94.48 km/h,102.04 km/h,101.01 km/h,103.36 km/h,102.09 km/h,102.08 km/h,104.44 km/h,88.60 km/h,101.98 km/h,100.49 km/h,101.74 km/h,102.93 km/h,104.22 km/h,104.37 km/h,100.56 km/h,100.24 km/h,97.98 km/h,105.22 km/h,105.58 km/h,107.06 km/h
