구간,시간,2025.09.30,2025.09.29,2025.09.28,2025.09.27,2025.09.26,2025.09.25,2025.09.24,2025.09.23,2025.09.22,2025.09.21,2025.09.20,2025.09.19,2025.09.18,2025.09.17,2025.09.16,2025.09.15,2025.09.14,2025.09.13,2025.09.12,2025.09.11,2025.09.10,2025.09.09,2025.09.08,2025.09.07,2025.09.06,2025.09.05,2025.09.04,2025.09.03,2025.09.02,2025.09.01
수원신갈IC→기흥IC,00시,102.28 km/h,107.69 km/h,109.37 km/h,101.99 km/h,103.85 km/h,99.57 km/h,103.32 km/h,102.15 km/h,105.57 km/h,109.45 km/h,88.28 km/h,102.15 km/h,102.69 km/h,100.97 km/h,101.74 km/h,105.58 km/h,108.10 km/h,86.14 km/h,103.56 km/h,103.36 km/h,101.30 km/h,102.49 km/h,106.32 km/h,103.38 km/h,102.74 km/h,102.32 km/h,100.93 km/h,102.10 km/h,101.91 km/h,104.82 km/h
수원신갈IC→기흥IC,01시,99.96 km/h,104.83 km/h,102.82 km/h,103.83 km/h,104.36 km/h,98.72 km/h,102.20 km/h,99.80 km/h,103.93 km/h,108.85 km/h,84.38 km/h,100.16 km/h,100.76 km/h,99.20 km/h,99.93 km/h,102.73 km/h,109.95 km/h,88.31 km/h,103.29 km/h,100.14 km/h,99.62 km/h,98.04 km/h,104.91 km/h,105.04 km/h,104.59 km/h,99.99 km/h,100.45 km/h,101.81 km/h,99.68 km/h,103.31 km/h
수원신갈IC→기흥IC,02시,97.76 km/h,102.83 km/h,98.47 km/h,104.36 km/h,103.77 km/h,98.06 km/h,101.88 km/h,100.62 km/h,101.81 km/h,113.66 km/h,85.51 km/h,99.48 km/h,100.38 km/h,98.81 km/h,101.06 km/h,102.02 km/h,110.91 km/h,88.77 km/h,101.29 km/h,100.76 km/h,99.78 km/h,98.38 km/h,103.17 km/h,107.51 km/h,103.55 km/h,101.14 km/h,96.77 km/h,100.44 km/h,97.90 km/h,101.57 km/h
수원신갈IC→기흥IC,03시,98.15 km/h,105.13 km/h,98.19 km/h,103.69 km/h,100.71 km/h,96.42 km/h,98.16 km/h,99.29 km/h,101.99 km/h,108.08 km/h,86.31 km/h,100.49 km/h,97.71 km/h,98.33 km/h,97.04 km/h,103.26 km/h,109.61 km/h,85.87 km/h,97.85 km/h,98.67 km/h,97.96 km/h,98.11 km/h,102.83 km/h,106.28 km/h,100.60 km/h,100.12 km/h,96.63 km/h,98.14 km/h,97.64 km/h,101.23 km/h
수원신갈IC→기흥IC,04시,99.44 km/h,104.65 km/h,102.36 km/h,103.37 km/h,100.35 km/h,96.34 km/h,99.91 km/h,99.51 km/h,103.29 km/h,106.83 km/h,88.23 km/h,99.60 km/h,100.47 km/h,97.77 km/h,99.17 km/h,103.20 km/h,109.46 km/h,87.45 km/h,98.39 km/h,99.25 km/h,98.55 km/h,98.45 km/h,102.75 km/h,103.16 km/h,101.00 km/h,99.11 km/h,93.67 km/h,99.11 km/h,99.05 km/h,102.51 km/h
수원신갈IC→기흥IC,05시,95.69 km/h,90.56 km/h,97.20 km/h,89.82 km/h,95.87 km/h,94.22 km/h,98.25 km/h,96.68 km/h,72.47 km/h,102.86 km/h,84.45 km/h,95.10 km/h,95.65 km/h,95.26 km/h,96.68 km/h,90.27 km/h,105.51 km/h,88.70 km/h,94.93 km/h,97.44 km/h,96.19 km/h,94.22 km/h,91.27 km/h,105.45 km/h,98.17 km/h,97.04 km/h,89.99 km/h,96.01 km/h,96.28 km/h,90.53 km/h
수원신갈IC→기흥IC,06시,85.89 km/h,55.54 km/h,91.37 km/h,77.36 km/h,90.69 km/h,83.40 km/h,91.31 km/h,87.22 km/h,37.50 km/h,101.02 km/h,51.34 km/h,87.22 km/h,77.94 km/h,83.43 km/h,88.32 km/h,51.09 km/h,104.40 km/h,86.75 km/h,87.75 km/h,89.02 km/h,89.24 km/h,87.01 km/h,58.04 km/h,104.81 km/h,95.36 km/h,91.63 km/h,74.93 km/h,90.04 km/h,91.68 km/h,47.98 km/h
수원신갈IC→기흥IC,07시,45.78 km/h,38.50 km/h,88.67 km/h,86.96 km/h,68.19 km/h,45.67 km/h,64.54 km/h,54.35 km/h,53.26 km/h,99.04 km/h,64.53 km/h,66.85 km/h,45.47 km/h,37.29 km/h,44.73 km/h,43.04 km/h,99.87 km/h,84.23 km/h,67.45 km/h,53.75 km/h,53.91 km/h,83.57 km/h,65.73 km/h,99.72 km/h,81.61 km/h,67.63 km/h,42.10 km/h,42.49 km/h,83.89 km/h,72.53 km/h
수원신갈IC→기흥IC,08시,51.49 km/h,72.84 km/h,91.90 km/h,93.06 km/h,61.89 km/h,62.97 km/h,60.97 km/h,65.23 km/h,84.75 km/h,100.42 km/h,91.39 km/h,76.83 km/h,65.31 km/h,52.17 km/h,48.09 km/h,70.40 km/h,98.92 km/h,89.65 km/h,53.11 km/h,69.47 km/h,74.17 km/h,57.94 km/h,83.53 km/h,100.32 km/h,92.89 km/h,57.58 km/h,55.41 km/h,63.39 km/h,62.19 km/h,83.16 km/h
수원신갈IC→기흥IC,09시,59.71 km/h,67.55 km/h,91.34 km/h,88.83 km/h,82.22 km/h,52.66 km/h,82.22 km/h,44.88 km/h,91.44 km/h,97.15 km/h,85.09 km/h,85.59 km/h,68.54 km/h,54.01 km/h,72.29 km/h,88.86 km/h,97.37 km/h,85.54 km/h,70.56 km/h,88.18 km/h,70.67 km/h,86.41 km/h,77.71 km/h,99.39 km/h,92.08 km/h,87.92 km/h,80.39 km/h,90.64 km/h,58.66 km/h,91.35 km/h
