구간,시간,2025.10.31,2025.10.30,2025.10.29,2025.10.28,2025.10.27,2025.10.26,2025.10.25,2025.10.24,2025.10.23,2025.10.22,2025.10.21,2025.10.20,2025.10.19,2025.10.18,2025.10.17,2025.10.16,2025.10.15,2025.10.14,2025.10.13,2025.10.12,2025.10.11,2025.10.10,2025.10.09,2025.10.08,2025.10.07,2025.10.06,2025.10.05,2025.10.04,2025.10.03,2025.10.02,2025.10.01
수원신갈IC→신갈JC,00시,89.09 km/h,89.45 km/h,89.32 km/h,87.82 km/h,89.43 km/h,92.38 km/h,89.29 km/h,89.70 km/h,89.69 km/h,88.70 km/h,89.51 km/h,90.07 km/h,92.74 km/h,82.46 km/h,89.83 km/h,82.83 km/h,89.12 km/h,87.47 km/h,88.98 km/h,88.75 km/h,85.19 km/h,90.45 km/h,81.67 km/h,78.36 km/h,75.09 km/h,93.58 km/h,90.20 km/h,87.84 km/h,89.14 km/h,89.57 km/h,89.40 km/h
수원신갈IC→신갈JC,01시,87.01 km/h,86.30 km/h,86.00 km/h,87.57 km/h,87.48 km/h,93.93 km/h,89.85 km/h,87.54 km/h,87.08 km/h,87.93 km/h,87.22 km/h,87.33 km/h,93.12 km/h,83.76 km/h,87.20 km/h,80.00 km/h,86.62 km/h,87.03 km/h,87.70 km/h,91.21 km/h,87.33 km/h,89.14 km/h,89.22 km/h,83.66 km/h,84.29 km/h,93.53 km/h,92.34 km/h,89.42 km/h,89.32 km/h,87.52 km/h,86.91 km/h
수원신갈IC→신갈JC,02시,86.51 km/h,85.16 km/h,85.05 km/h,86.29 km/h,86.06 km/h,93.43 km/h,88.40 km/h,86.48 km/h,84.32 km/h,86.24 km/h,84.51 km/h,85.31 km/h,92.74 km/h,84.04 km/h,85.66 km/h,79.77 km/h,84.19 km/h,83.71 km/h,84.61 km/h,90.39 km/h,86.32 km/h,87.37 km/h,91.01 km/h,88.21 km/h,84.47 km/h,94.82 km/h,90.41 km/h,87.81 km/h,86.69 km/h,85.54 km/h,85.24 km/h
수원신갈IC→신갈JC,03시,83.45 km/h,83.58 km/h,83.54 km/h,84.15 km/h,85.91 km/h,93.10 km/h,86.42 km/h,84.87 km/h,83.48 km/h,83.70 km/h,82.64 km/h,85.28 km/h,90.47 km/h,79.62 km/h,83.60 km/h,79.79 km/h,82.41 km/h,83.00 km/h,84.09 km/h,90.26 km/h,85.35 km/h,86.57 km/h,90.50 km/h,91.28 km/h,87.99 km/h,92.35 km/h,88.21 km/h,86.80 km/h,84.26 km/h,84.21 km/h,83.72 km/h
수원신갈IC→신갈JC,04시,82.88 km/h,82.69 km/h,83.04 km/h,82.23 km/h,84.58 km/h,89.77 km/h,86.90 km/h,84.20 km/h,83.06 km/h,83.49 km/h,83.50 km/h,85.11 km/h,87.53 km/h,79.20 km/h,82.93 km/h,80.51 km/h,82.08 km/h,82.19 km/h,79.40 km/h,88.36 km/h,83.31 km/h,86.26 km/h,88.52 km/h,88.64 km/h,88.04 km/h,90.26 km/h,87.63 km/h,85.96 km/h,82.72 km/h,81.68 km/h,82.37 km/h
수원신갈IC→신갈JC,05시,82.22 km/h,82.32 km/h,81.58 km/h,80.21 km/h,73.97 km/h,88.30 km/h,83.40 km/h,80.20 km/h,81.00 km/h,81.74 km/h,81.01 km/h,74.87 km/h,87.18 km/h,77.90 km/h,81.53 km/h,79.47 km/h,82.18 km/h,78.93 km/h,66.90 km/h,87.65 km/h,83.55 km/h,84.70 km/h,86.08 km/h,87.59 km/h,85.93 km/h,87.99 km/h,86.11 km/h,85.25 km/h,81.19 km/h,80.87 km/h,79.96 km/h
수원신갈IC→신갈JC,06시,64.08 km/h,38.75 km/h,49.58 km/h,58.61 km/h,43.85 km/h,86.60 km/h,79.69 km/h,58.58 km/h,55.54 km/h,58.12 km/h,58.29 km/h,68.90 km/h,85.79 km/h,76.15 km/h,65.28 km/h,51.15 km/h,58.30 km/h,48.16 km/h,43.39 km/h,88.52 km/h,83.94 km/h,76.15 km/h,87.90 km/h,88.71 km/h,85.00 km/h,84.72 km/h,86.60 km/h,85.43 km/h,79.34 km/h,61.66 km/h,53.93 km/h
수원신갈IC→신갈JC,07시,45.34 km/h,19.40 km/h,42.95 km/h,44.46 km/h,31.04 km/h,84.73 km/h,71.67 km/h,45.35 km/h,44.30 km/h,47.15 km/h,46.92 km/h,43.80 km/h,85.19 km/h,59.85 km/h,45.23 km/h,46.49 km/h,43.24 km/h,35.27 km/h,28.63 km/h,88.08 km/h,82.03 km/h,67.06 km/h,87.00 km/h,86.03 km/h,80.83 km/h,59.33 km/h,86.53 km/h,83.31 km/h,73.38 km/h,43.60 km/h,39.46 km/h
수원신갈IC→신갈JC,08시,38.84 km/h,22.78 km/h,33.57 km/h,41.68 km/h,40.15 km/h,74.74 km/h,55.70 km/h,42.44 km/h,39.24 km/h,35.02 km/h,46.99 km/h,32.15 km/h,74.44 km/h,61.47 km/h,35.45 km/h,36.12 km/h,36.85 km/h,26.07 km/h,33.93 km/h,83.08 km/h,75.87 km/h,65.82 km/h,80.68 km/h,77.91 km/h,72.96 km/h,53.39 km/h,61.69 km/h,78.37 km/h,69.42 km/h,39.68 km/h,38.56 km/h
수원신갈IC→신갈JC,09시,41.96 km/h,34.48 km/h,44.35 km/h,45.78 km/h,58.66 km/h,50.37 km/h,47.47 km/h,41.20 km/h,41.91 km/h,40.31 km/h,43.73 km/h,43.31 km/h,46.78 km/h,50.06 km/h,40.14 km/h,42.01 km/h,40.45 km/h,31.80 km/h,51.85 km/h,74.24 km/h,61.09 km/h,60.00 km/h,68.90 km/h,62.44 km/h,61.02 km/h,54.00 km/h,48.99 km/h,58.37 km/h,54.69 km/h,44.66 km/h,39.59 km/h
수원신갈IC→신갈JC,10시,60.23 km/h,55.92 km/h,61.66 km/h,73.53 km/h,67.92 km/h,49.11 km/h,45.23 km/h,52.44 km/h,48.55 km/h,51.42 km/h,70.39 km/h,72.62 km/h,48.48 km/h,45.38 km/h,53.28 km/h,49.34 km/h,55.20 km/h,52.48 km/h,68.13 km/h,74.34 km/h,51.54 km/h,48.94 km/h,59.30 km/h,64.96 km/h,61.20 km/h,44.74 km/h,42.15 km/h,55.36 km/h,57.69 km/h,64.76 km/h,43.56 km/h
수원신갈IC→신갈JC,11시,67.89 km/h,72.97 km/h,71.37 km/h,74.18 km/h,69.25 km/h,51.20 km/h,48.72 km/h,70.87 km/h,62.90 km/h,68.19 km/h,70.03 km/h,68.81 km/h,54.56 km/h,62.74 km/h,74.41 km/h,69.15 km/h,73.51 km/h,73.18 km/h,67.04 km/h,73.96 km/h,54.55 km/h,53.39 km/h,65.01 km/h,51.99 km/h,45.09 km/h,43.95 km/h,55.24 km/h,61.15 km/h,57.04 km/h,67.87 km/h,62.20 km/h
수원신갈IC→신갈JC,12시,60.94 km/h,70.09 km/h,61.48 km/h,62.72 km/h,58.72 km/h,57.44 km/h,49.44 km/h,69.82 km/h,64.79 km/h,66.86 km/h,66.57 km/h,65.54 km/h,51.64 km/h,53.86 km/h,68.02 km/h,64.77 km/h,62.60 km/h,74.10 km/h,64.82 km/h,74.32 km/h,51.46 km/h,55.96 km/h,66.27 km/h,64.40 km/h,53.80 km/h,74.90 km/h,56.07 km/h,69.83 km/h,76.25 km/h,64.91 km/h,62.81 km/h
수원신갈IC→신갈JC,13시,52.45 km/h,67.95 km/h,58.75 km/h,64.92 km/h,66.37 km/h,58.66 km/h,50.87 km/h,64.14 km/h,63.61 km/h,56.01 km/h,62.76 km/h,59.10 km/h,59.05 km/h,60.27 km/h,50.45 km/h,54.58 km/h,59.67 km/h,68.64 km/h,65.14 km/h,66.29 km/h,52.46 km/h,69.90 km/h,66.33 km/h,66.65 km/h,60.86 km/h,76.27 km/h,47.43 km/h,62.82 km/h,53.07 km/h,58.76 km/h,55.27 km/h
수원신갈IC→신갈JC,14시,57.67 km/h,68.30 km/h,57.16 km/h,53.75 km/h,57.57 km/h,68.55 km/h,43.61 km/h,52.09 km/h,66.70 km/h,57.94 km/h,64.11 km/h,62.62 km/h,63.81 km/h,46.21 km/h,64.91 km/h,59.02 km/h,58.23 km/h,70.04 km/h,59.51 km/h,59.90 km/h,60.50 km/h,65.62 km/h,62.74 km/h,62.37 km/h,51.09 km/h,47.25 km/h,56.98 km/h,50.22 km/h,61.95 km/h,51.15 km/h,59.60 km/h
