구간,시간,2025.09.30,2025.09.29,2025.09.28,2025.09.27,2025.09.26,2025.09.25,2025.09.24,2025.09.23,2025.09.22,2025.09.21,2025.09.20,2025.09.19,2025.09.18,2025.09.17,2025.09.16,2025.09.15,2025.09.14,2025.09.13,2025.09.12,2025.09.11,2025.09.10,2025.09.09,2025.09.08,2025.09.07,2025.09.06,2025.09.05,2025.09.04,2025.09.03,2025.09.02,2025.09.01
수원신갈IC→신갈JC,00시,89.13 km/h,90.16 km/h,92.08 km/h,88.74 km/h,86.91 km/h,87.12 km/h,90.58 km/h,90.18 km/h,93.04 km/h,96.81 km/h,80.85 km/h,90.48 km/h,92.59 km/h,91.07 km/h,91.16 km/h,93.30 km/h,95.41 km/h,78.67 km/h,89.65 km/h,89.60 km/h,87.33 km/h,87.76 km/h,90.34 km/h,92.76 km/h,90.59 km/h,89.97 km/h,89.10 km/h,89.53 km/h,88.58 km/h,90.19 km/h
수원신갈IC→신갈JC,01시,86.54 km/h,88.12 km/h,86.71 km/h,88.40 km/h,85.87 km/h,85.58 km/h,88.55 km/h,88.92 km/h,90.02 km/h,96.21 km/h,73.58 km/h,89.53 km/h,88.33 km/h,89.28 km/h,88.69 km/h,90.29 km/h,96.83 km/h,79.48 km/h,88.04 km/h,87.61 km/h,86.86 km/h,85.15 km/h,88.21 km/h,92.29 km/h,90.07 km/h,86.83 km/h,87.14 km/h,86.72 km/h,85.95 km/h,89.49 km/h
수원신갈IC→신갈JC,02시,83.50 km/h,85.87 km/h,82.13 km/h,88.70 km/h,84.96 km/h,86.00 km/h,87.39 km/h,86.57 km/h,87.28 km/h,95.34 km/h,74.46 km/h,87.45 km/h,87.71 km/h,87.02 km/h,84.96 km/h,87.26 km/h,94.95 km/h,77.63 km/h,85.40 km/h,85.69 km/h,84.72 km/h,83.04 km/h,86.55 km/h,91.16 km/h,86.84 km/h,84.82 km/h,84.16 km/h,85.46 km/h,84.55 km/h,87.25 km/h
수원신갈IC→신갈JC,03시,83.56 km/h,85.29 km/h,83.42 km/h,85.48 km/h,83.86 km/h,83.16 km/h,86.69 km/h,85.78 km/h,87.97 km/h,93.59 km/h,76.46 km/h,85.55 km/h,85.84 km/h,86.03 km/h,86.37 km/h,87.97 km/h,92.71 km/h,75.60 km/h,84.38 km/h,82.20 km/h,83.71 km/h,81.94 km/h,84.63 km/h,89.02 km/h,86.46 km/h,83.35 km/h,81.94 km/h,83.92 km/h,82.55 km/h,86.17 km/h
수원신갈IC→신갈JC,04시,82.61 km/h,85.78 km/h,85.63 km/h,84.74 km/h,83.21 km/h,81.53 km/h,85.96 km/h,85.68 km/h,88.13 km/h,91.25 km/h,78.34 km/h,84.99 km/h,84.20 km/h,84.73 km/h,85.62 km/h,88.07 km/h,92.45 km/h,72.98 km/h,82.88 km/h,82.67 km/h,83.42 km/h,81.51 km/h,86.67 km/h,87.24 km/h,84.29 km/h,83.53 km/h,78.32 km/h,83.11 km/h,82.48 km/h,86.04 km/h
수원신갈IC→신갈JC,05시,81.04 km/h,75.37 km/h,83.02 km/h,82.56 km/h,79.84 km/h,78.66 km/h,83.69 km/h,82.33 km/h,75.55 km/h,89.68 km/h,79.49 km/h,82.95 km/h,81.67 km/h,84.07 km/h,82.30 km/h,76.95 km/h,89.97 km/h,74.77 km/h,78.62 km/h,81.22 km/h,81.82 km/h,78.51 km/h,74.44 km/h,86.98 km/h,82.46 km/h,82.40 km/h,76.36 km/h,81.61 km/h,78.84 km/h,73.84 km/h
수원신갈IC→신갈JC,06시,57.82 km/h,43.06 km/h,80.14 km/h,81.81 km/h,64.56 km/h,47.47 km/h,60.74 km/h,48.87 km/h,33.78 km/h,90.67 km/h,78.32 km/h,64.12 km/h,56.36 km/h,59.86 km/h,55.39 km/h,34.48 km/h,90.76 km/h,79.92 km/h,48.29 km/h,60.81 km/h,66.65 km/h,52.92 km/h,46.44 km/h,87.62 km/h,83.37 km/h,70.18 km/h,57.37 km/h,61.64 km/h,58.28 km/h,44.38 km/h
수원신갈IC→신갈JC,07시,44.38 km/h,33.11 km/h,71.59 km/h,71.99 km/h,48.08 km/h,33.87 km/h,26.22 km/h,31.07 km/h,26.94 km/h,89.81 km/h,73.13 km/h,37.82 km/h,40.93 km/h,27.17 km/h,43.26 km/h,28.08 km/h,90.99 km/h,70.10 km/h,45.13 km/h,44.92 km/h,37.39 km/h,39.60 km/h,33.39 km/h,85.53 km/h,77.10 km/h,44.59 km/h,33.04 km/h,44.32 km/h,41.29 km/h,30.97 km/h
수원신갈IC→신갈JC,08시,39.61 km/h,40.07 km/h,65.66 km/h,51.84 km/h,46.70 km/h,28.73 km/h,27.54 km/h,29.76 km/h,47.14 km/h,80.10 km/h,49.78 km/h,31.40 km/h,26.56 km/h,23.80 km/h,26.10 km/h,50.46 km/h,82.90 km/h,52.94 km/h,46.64 km/h,35.78 km/h,37.78 km/h,33.05 km/h,54.24 km/h,80.84 km/h,58.06 km/h,29.12 km/h,28.24 km/h,30.51 km/h,34.05 km/h,33.02 km/h
수원신갈IC→신갈JC,09시,43.63 km/h,50.74 km/h,54.72 km/h,47.24 km/h,49.42 km/h,46.35 km/h,43.73 km/h,35.24 km/h,64.87 km/h,52.83 km/h,43.24 km/h,45.14 km/h,36.18 km/h,38.33 km/h,38.39 km/h,69.29 km/h,56.75 km/h,43.41 km/h,45.73 km/h,42.47 km/h,46.02 km/h,54.73 km/h,71.82 km/h,61.85 km/h,49.41 km/h,44.41 km/h,36.25 km/h,29.56 km/h,49.00 km/h,54.97 km/h
수원신갈IC→신갈JC,10시,55.07 km/h,51.93 km/h,43.92 km/h,45.29 km/h,59.38 km/h,75.36 km/h,76.77 km/h,64.61 km/h,64.59 km/h,48.02 km/h,41.12 km/h,57.48 km/h,69.72 km/h,55.36 km/h,74.46 km/h,69.85 km/h,45.37 km/h,44.53 km/h,55.79 km/h,61.02 km/h,52.15 km/h,49.09 km/h,68.39 km/h,54.35 km/h,44.58 km/h,68.25 km/h,54.92 km/h,55.66 km/h,65.52 km/h,75.63 km/h
수원신갈IC→신갈JC,11시,69.33 km/h,72.83 km/h,54.38 km/h,57.80 km/h,68.84 km/h,70.37 km/h,72.91 km/h,70.26 km/h,73.86 km/h,59.94 km/h,49.92 km/h,65.06 km/h,70.45 km/h,61.79 km/h,74.69 km/h,73.07 km/h,62.17 km/h,44.90 km/h,71.53 km/h,65.09 km/h,64.06 km/h,72.08 km/h,70.86 km/h,59.97 km/h,47.06 km/h,66.48 km/h,71.58 km/h,73.95 km/h,61.09 km/h,73.37 km/h
수원신갈IC→신갈JC,12시,65.62 km/h,67.38 km/h,69.89 km/h,44.86 km/h,56.70 km/h,64.42 km/h,72.88 km/h,70.48 km/h,68.13 km/h,59.26 km/h,44.99 km/h,62.05 km/h,71.94 km/h,72.58 km/h,70.30 km/h,68.86 km/h,56.67 km/h,51.88 km/h,63.48 km/h,64.44 km/h,64.70 km/h,67.51 km/h,60.01 km/h,61.47 km/h,54.80 km/h,65.63 km/h,69.43 km/h,65.64 km/h,56.48 km/h,70.69 km/h
수원신갈IC→신갈JC,13시,64.70 km/h,63.43 km/h,65.48 km/h,44.00 km/h,57.66 km/h,68.28 km/h,60.79 km/h,66.15 km/h,67.04 km/h,68.43 km/h,40.09 km/h,68.47 km/h,71.15 km/h,67.19 km/h,62.83 km/h,68.92 km/h,69.78 km/h,41.75 km/h,60.83 km/h,55.30 km/h,65.42 km/h,60.48 km/h,68.50 km/h,68.47 km/h,57.11 km/h,62.11 km/h,66.76 km/h,62.65 km/h,45.23 km/h,67.67 km/h
수원신갈IC→신갈JC,14시,73.04 km/h,37.93 km/h,72.27 km/h,40.37 km/h,47.22 km/h,52.04 km/h,52.45 km/h,35.00 km/h,69.57 km/h,59.82 km/h,39.88 km/h,45.61 km/h,54.25 km/h,51.85 km/h,24.92 km/h,59.29 km/h,63.65 km/h,50.67 km/h,54.60 km/h,53.76 km/h,65.07 km/h,68.16 km/h,63.27 km/h,65.08 km/h,61.39 km/h,58.59 km/h,68.67 km/h,60.63 km/h,65.29 km/h,61.92 km/h
수원신갈IC→신갈JC,15시,74.82 km/h,58.91 km/h,72.89 km/h,46.42 km/h,52.01 km/h,58.23 km/h,48.31 km/h,38.76 km/h,68.99 km/h,46.88 km/h,42.07 km/h,56.51 km/h,50.83 km/h,43.88 km/h,43.01 km/h,70.02 km/h,68.83 km/h,61.45 km/h,52.50 km/h,63.48 km/h,57.42 km/h,66.22 km/h,60.47 km/h,58.39 km/h,46.82 km/h,51.88 km/h,58.64 km/h,65.18 km/h,64.20 km/h,54.20 km/h
수원신갈IC→신갈JC,16시,40.30 km/h,52.83 km/h,71.18 km/h,47.74 km/h,32.99 km/h,64.96 km/h,52.19 km/h,55.79 km/h,77.21 km/h,73.05 km/h,61.38 km/h,37.00 km/h,67.04 km/h,57.91 km/h,68.81 km/h,74.22 km/h,74.22 km/h,57.71 km/h,51.85 km/h,60.39 km/h,67.44 km/h,69.02 km/h,61.34 km/h,70.10 km/h,46.02 km/h,64.58 km/h,52.37 km/h,63.63 km/h,70.07 km/h,61.08 km/h
수원신갈IC→신갈JC,17시,63.24 km/h,67.22 km/h,75.64 km/h,80.49 km/h,63.96 km/h,58.80 km/h,65.28 km/h,64.89 km/h,69.93 km/h,76.44 km/h,74.34 km/h,53.64 km/h,76.90 km/h,68.09 km/h,70.79 km/h,69.28 km/h,77.92 km/h,40.98 km/h,44.00 km/h,64.60 km/h,75.20 km/h,66.64 km/h,70.26 km/h,75.12 km/h,57.76 km/h,42.09 km/h,59.19 km/h,67.01 km/h,67.45 km/h,67.56 km/h
수원신갈IC→신갈JC,18시,67.25 km/h,73.68 km/h,61.06 km/h,75.24 km/h,69.90 km/h,71.84 km/h,66.96 km/h,72.07 km/h,72.54 km/h,72.80 km/h,82.44 km/h,66.60 km/h,78.53 km/h,69.98 km/h,73.74 km/h,75.77 km/h,68.52 km/h,71.23 km/h,61.14 km/h,72.40 km/h,70.81 km/h,69.36 km/h,70.02 km/h,77.52 km/h,67.83 km/h,76.06 km/h,75.83 km/h,71.93 km/h,67.77 km/h,65.30 km/h
수원신갈IC→신갈JC,19시,70.69 km/h,74.92 km/h,69.75 km/h,75.21 km/h,73.38 km/h,64.28 km/h,72.54 km/h,65.68 km/h,73.62 km/h,68.00 km/h,71.52 km/h,74.58 km/h,73.59 km/h,70.49 km/h,70.29 km/h,71.95 km/h,64.90 km/h,78.73 km/h,53.12 km/h,67.58 km/h,72.61 km/h,72.37 km/h,69.93 km/h,70.43 km/h,66.22 km/h,64.65 km/h,72.67 km/h,72.33 km/h,72.77 km/h,68.65 km/h
수원신갈IC→신갈JC,20시,69.28 km/h,70.41 km/h,73.61 km/h,67.33 km/h,75.12 km/h,70.02 km/h,68.85 km/h,72.26 km/h,75.88 km/h,66.34 km/h,72.63 km/h,73.21 km/h,70.63 km/h,75.40 km/h,64.35 km/h,74.20 km/h,72.06 km/h,77.05 km/h,65.18 km/h,56.77 km/h,69.94 km/h,72.18 km/h,72.97 km/h,66.71 km/h,62.80 km/h,60.66 km/h,69.67 km/h,71.68 km/h,74.69 km/h,69.67 km/h
수원신갈IC→신갈JC,21시,79.96 km/h,81.46 km/h,84.01 km/h,74.00 km/h,72.40 km/h,78.95 km/h,77.28 km/h,83.59 km/h,84.30 km/h,79.28 km/h,76.58 km/h,75.08 km/h,81.80 km/h,84.81 km/h,82.41 km/h,85.99 km/h,82.22 km/h,83.57 km/h,68.08 km/h,82.77 km/h,83.39 km/h,82.55 km/h,82.95 km/h,81.55 km/h,74.00 km/h,70.13 km/h,80.85 km/h,83.65 km/h,82.73 km/h,82.24 km/h
수원신갈IC→신갈JC,22시,85.53 km/h,84.48 km/h,87.07 km/h,81.46 km/h,82.01 km/h,72.08 km/h,82.79 km/h,88.91 km/h,89.21 km/h,87.04 km/h,85.93 km/h,76.47 km/h,84.89 km/h,89.93 km/h,87.92 km/h,88.52 km/h,89.49 km/h,88.89 km/h,70.85 km/h,86.02 km/h,85.71 km/h,86.30 km/h,86.63 km/h,86.07 km/h,82.50 km/h,83.68 km/h,86.56 km/h,85.13 km/h,86.42 km/h,86.48 km/h
