구간,시간,2025.08.31,2025.08.30,2025.08.29,2025.08.28,2025.08.27,2025.08.26,2025.08.25,2025.08.24,2025.08.23,2025.08.22,2025.08.21,2025.08.20,2025.08.19,2025.08.18,2025.08.17,2025.08.16,2025.08.15,2025.08.14,2025.08.13,2025.08.12,2025.08.11,2025.08.10,2025.08.09,2025.08.08,2025.08.07,2025.08.06,2025.08.05,2025.08.04,2025.08.03,2025.08.02,2025.08.01
남사진위IC→안성JC,00시,100.91 km/h,96.20 km/h,95.53 km/h,96.62 km/h,94.62 km/h,73.66 km/h,98.06 km/h,100.49 km/h,96.92 km/h,95.93 km/h,94.58 km/h,94.48 km/h,93.49 km/h,97.15 km/h,99.56 km/h,96.51 km/h,0.00 km/h,93.04 km/h,96.72 km/h,94.11 km/h,97.48 km/h,101.59 km/h,96.23 km/h,95.41 km/h,93.27 km/h,94.08 km/h,93.39 km/h,92.03 km/h,99.99 km/h,94.95 km/h,95.50 km/h
남사진위IC→안성JC,01시,99.83 km/h,95.11 km/h,92.67 km/h,93.48 km/h,91.94 km/h,83.58 km/h,94.70 km/h,100.61 km/h,94.85 km/h,93.00 km/h,92.44 km/h,92.37 km/h,91.17 km/h,96.01 km/h,97.05 km/h,94.73 km/h,96.76 km/h,88.34 km/h,91.65 km/h,91.13 km/h,95.07 km/h,100.22 km/h,95.52 km/h,92.22 km/h,92.22 km/h,90.28 km/h,91.66 km/h,85.94 km/h,99.89 km/h,93.17 km/h,93.09 km/h
남사진위IC→안성JC,02시,98.83 km/h,93.40 km/h,91.61 km/h,92.00 km/h,92.11 km/h,87.12 km/h,94.62 km/h,99.26 km/h,95.27 km/h,92.09 km/h,91.26 km/h,91.17 km/h,91.00 km/h,91.84 km/h,97.09 km/h,93.66 km/h,96.28 km/h,85.63 km/h,87.29 km/h,90.66 km/h,94.44 km/h,99.65 km/h,95.41 km/h,91.48 km/h,91.52 km/h,89.43 km/h,91.53 km/h,90.22 km/h,99.07 km/h,92.30 km/h,92.38 km/h
남사진위IC→안성JC,03시,98.83 km/h,94.69 km/h,94.69 km/h,91.94 km/h,92.90 km/h,86.32 km/h,96.57 km/h,99.26 km/h,95.88 km/h,94.52 km/h,92.81 km/h,93.33 km/h,92.08 km/h,95.10 km/h,97.19 km/h,95.11 km/h,96.86 km/h,91.48 km/h,72.86 km/h,91.96 km/h,96.50 km/h,99.48 km/h,97.59 km/h,93.74 km/h,91.03 km/h,90.74 km/h,93.33 km/h,94.12 km/h,99.47 km/h,95.49 km/h,95.14 km/h
남사진위IC→안성JC,04시,100.67 km/h,96.86 km/h,94.88 km/h,94.92 km/h,92.97 km/h,88.52 km/h,98.42 km/h,99.90 km/h,96.98 km/h,93.75 km/h,94.73 km/h,94.49 km/h,91.51 km/h,96.70 km/h,99.25 km/h,97.33 km/h,96.76 km/h,92.63 km/h,82.21 km/h,95.09 km/h,99.16 km/h,100.42 km/h,97.11 km/h,94.30 km/h,92.14 km/h,93.62 km/h,95.08 km/h,97.19 km/h,99.99 km/h,96.70 km/h,97.88 km/h
남사진위IC→안성JC,05시,100.82 km/h,96.04 km/h,93.95 km/h,93.95 km/h,92.55 km/h,87.12 km/h,90.72 km/h,100.94 km/h,96.15 km/h,93.13 km/h,94.14 km/h,92.87 km/h,93.19 km/h,89.71 km/h,98.94 km/h,96.21 km/h,92.13 km/h,88.49 km/h,87.34 km/h,95.00 km/h,88.59 km/h,102.24 km/h,95.62 km/h,93.80 km/h,93.62 km/h,94.78 km/h,94.94 km/h,90.52 km/h,104.45 km/h,92.62 km/h,93.78 km/h
남사진위IC→안성JC,06시,101.34 km/h,83.36 km/h,87.85 km/h,88.28 km/h,88.19 km/h,77.37 km/h,82.91 km/h,100.85 km/h,96.03 km/h,91.33 km/h,88.23 km/h,88.59 km/h,88.57 km/h,64.58 km/h,99.47 km/h,95.56 km/h,74.07 km/h,78.37 km/h,77.15 km/h,86.57 km/h,69.03 km/h,100.49 km/h,95.53 km/h,90.71 km/h,90.33 km/h,91.54 km/h,88.09 km/h,64.79 km/h,100.91 km/h,88.68 km/h,81.40 km/h
남사진위IC→안성JC,07시,100.19 km/h,70.28 km/h,63.38 km/h,71.69 km/h,72.25 km/h,58.10 km/h,63.72 km/h,100.48 km/h,88.68 km/h,70.51 km/h,64.75 km/h,69.29 km/h,65.00 km/h,68.97 km/h,98.19 km/h,92.04 km/h,63.64 km/h,60.47 km/h,75.87 km/h,53.39 km/h,59.87 km/h,97.93 km/h,83.11 km/h,69.29 km/h,68.39 km/h,77.34 km/h,66.81 km/h,55.41 km/h,97.47 km/h,61.52 km/h,66.38 km/h
남사진위IC→안성JC,08시,98.35 km/h,70.41 km/h,76.38 km/h,0.00 km/h,72.97 km/h,0.00 km/h,72.58 km/h,98.41 km/h,73.80 km/h,68.77 km/h,74.61 km/h,64.78 km/h,69.89 km/h,0.00 km/h,95.24 km/h,89.96 km/h,45.04 km/h,60.59 km/h,67.90 km/h,57.76 km/h,78.38 km/h,98.72 km/h,75.39 km/h,68.23 km/h,62.03 km/h,80.04 km/h,65.18 km/h,55.06 km/h,95.03 km/h,78.25 km/h,58.59 km/h
남사진위IC→안성JC,09시,92.96 km/h,71.59 km/h,69.64 km/h,71.04 km/h,69.87 km/h,72.65 km/h,71.96 km/h,94.11 km/h,74.62 km/h,70.00 km/h,62.85 km/h,66.87 km/h,66.85 km/h,76.08 km/h,92.75 km/h,79.73 km/h,51.07 km/h,55.14 km/h,58.83 km/h,61.88 km/h,79.35 km/h,95.98 km/h,66.12 km/h,69.40 km/h,57.22 km/h,74.77 km/h,68.92 km/h,68.42 km/h,91.96 km/h,79.60 km/h,62.53 km/h
