file_id,zip_name,class_name,class_idx,split,direction,label_zip_name,label_file_id
1m1QNzSsNv-vl6WKhHi7D_SDU8DLm78Ep,VS_지루_측면.zip,지루피부염,4,val,side,VL_지루_측면.zip,1dgBtQEVzIWhkT7JgzvHXurk6Vmggn4ST
171GYeIUWYQ4nBrXcaY63r17fL0PrW5Jj,VS_지루_정면.zip,지루피부염,4,val,front,VL_지루_정면.zip,1mcUt7AzzEiH4EoDp5qroXbmypLlG6iQT
1y7W56ZXdc2SUKh95qOZX0KCCCiNIsRdb,VS_주사_정면.zip,주사,3,val,front,VL_주사_정면.zip,1tDKGKMSlxKFmiiHebxOIiAO0x9_aG4xI
1XCf2uLsjJMPGCsR0X0hp3aMT1ZbPgeJ6,VS_주사_측면.zip,주사,3,val,side,VL_주사_측면.zip,1CjKk6J-22eMkfSvEoRkMY50W25iWqlzL
1pWqIkVq67GPxrYUvPiIuW0bWR_ZbFPjL,VS_정상_측면.zip,정상,5,val,side,VL_정상_측면.zip,18N6i5Y81fwTeBDuotakAmaw1aZ9enFa4
1XnLAjCLggJv76QE5IBSt3RaKJoL-aIZc,VS_정상_정면.zip,정상,5,val,front,VL_정상_정면.zip,1aLrJEgIr0zom3pVpKF1MJ-O75Ev3BxlH
13Ai5cfz-m9A24uMlfH3e2ij5mJUyRk-3,VS_여드름_측면.zip,여드름,2,val,side,VL_여드름_측면.zip,1wtEK7ywnizGrEghEpjWRuriUAyk-k9Bz
1X3ovDu_naExq4U_bd_plF0LdK9d3rRyG,VS_여드름_정면.zip,여드름,2,val,front,VL_여드름_정면.zip,10DmB90eu_sgq0kk4aL9xtFq84VRpIqIp
1vsaHWvj4jQmw5PxIqKE5sSXP5HWxxCSs,VS_아토피_측면.zip,아토피피부염,1,val,side,VL_아토피_측면.zip,1H3IHlZ60-6WzdJpHmkhkCj6AgqGJZrS6
17P7rxA3MRL9hMS3njh4Lo2osbbQuP87y,VS_아토피_정면.zip,아토피피부염,1,val,front,VL_아토피_정면.zip,1m8otz5VnrL1cyb88mdmirpjBC14E2kli
1Fp3snMZJCebXmUUB2Xi-hBjS9WL72Leh,VS_건선_측면.zip,건선,0,val,side,VL_건선_측면.zip,1oV9RGpg8vmrsvA8alq7wVnmFfqt1qPi5
1fZ5dY5y9VNacf8ScBlgzqOMzjK4ukjs5,VS_건선_정면.zip,건선,0,val,front,VL_건선_정면.zip,1z7tRAX2dBlw0PBKQRFd5xf02J7z107-0
1HHByEHc-w1fnK4IUyigpgDEzRb3A0ukB,TS_지루_측면.zip,지루피부염,4,train,side,TL_지루_측면.zip,14vu94684I2PP3JfBgvjoE6vvQuw9UjA8
1KDHBsx0bbkesxHIUaOOH55lV0Nio91NK,TS_지루_정면.zip,지루피부염,4,train,front,TL_지루_정면.zip,1cgfNYnT57FPfO9_hoJ2eA0hFASTAw1Xd
1y1qTkDfn8B1ptWdOuyPeIbKK3UsDAy2f,TS_주사_측면.zip,주사,3,train,side,TL_주사_측면.zip,1z8-BtwcsOMq2kcqGLoE82LBBShRzqXz1
1OHs0UDygfpJ2XMFtVWQFBzzVVA7s_NQ0,TS_주사_정면.zip,주사,3,train,front,TL_주사_정면.zip,1P5tXDkL0KnTHMMGhIYRT9DNUtoROrn4P
1nYTJ7xouj1fnJ0pzDaS93_TF7ftpZVpQ,TS_정상_측면.zip,정상,5,train,side,TL_정상_측면.zip,1XQxdAN2AB5-McIMpdO9s2H678N0pnQxQ
1BJCleFZqxFu0fvKOU3pZ6QyRRNyVOTwU,TS_정상_정면.zip,정상,5,train,front,TL_정상_정면.zip,1DHhzw-L0LE9LhDgmjPjuu4nI970oGdFF
1y9YP4CHMUg5TL2ICu2Ipf_H3ABvns18X,TS_여드름_측면.zip,여드름,2,train,side,TL_여드름_측면.zip,1mqCMqycRC8QIerI3nDoHlmw7YYHR3hh-
14dryhw00h7PTtx6DyTSwHSq-020vgHoG,TS_여드름_정면.zip,여드름,2,train,front,TL_여드름_정면.zip,158atMbljjP9y6QVQeU02HSClFY31uIa3
1YFoNQlLVv-i3B2SaFr_Afn90XDWxoc3I,TS_아토피_측면.zip,아토피피부염,1,train,side,TL_아토피_측면.zip,1mfNMwba-dg81aZyhPEgt7nMTfrTPg8A8
1RXV9WyUoOU55po0wIS_rPmvUUuLzwNLl,TS_아토피_정면.zip,아토피피부염,1,train,front,TL_아토피_정면.zip,1cBjNDCEYwoLEHIIi4WKk_tdTGjpGfF4u
1T-rJEfYvsC5JiiUYs4D4dsMG2S7d8Kce,TS_건선_측면.zip,건선,0,train,side,TL_건선_측면.zip,1kM1jPElDzc-3IgWgPqpy6iv-g-AT2te1
1FtNS4SksWiXxVaxnuWznmr-7cKgYaKCn,TS_건선_정면.zip,건선,0,train,front,TL_건선_정면.zip,1HQlJJGD1vVfTBupjRk1R9woe03OP7N-K
